Feature ID	Type	Contig	Start	Stop	Frame	Strand	Length (bp)	Function	Subsystem	NCBI GI	locus
fig|1107311.11.peg.1	CDS	NZ_AVCS01000001	2	499	2	+	498	hypothetical protein	- none -	 	 
fig|1107311.11.peg.2	CDS	NZ_AVCS01000001	701	558	-2	-	144	hypothetical protein	- none -	 	 
fig|1107311.11.peg.3	CDS	NZ_AVCS01000001	1946	756	-2	-	1191	Alanine transaminase (EC 2.6.1.2)	- none -	 	 
fig|1107311.11.peg.4	CDS	NZ_AVCS01000001	2073	3389	3	+	1317	hypothetical protein	- none -	 	 
fig|1107311.11.peg.5	CDS	NZ_AVCS01000001	3875	3441	-2	-	435	hypothetical protein	- none -	 	 
fig|1107311.11.peg.6	CDS	NZ_AVCS01000001	4203	6833	3	+	2631	Valyl-tRNA synthetase (EC 6.1.1.9)	tRNA aminoacylation, Val	 	 
fig|1107311.11.peg.7	CDS	NZ_AVCS01000001	7213	8112	1	+	900	hypothetical protein	- none -	 	 
fig|1107311.11.peg.8	CDS	NZ_AVCS01000001	8808	8332	-3	-	477	hypothetical protein	- none -	 	 
fig|1107311.11.peg.9	CDS	NZ_AVCS01000001	10070	9249	-2	-	822	Superoxide dismutase [Mn] (EC 1.15.1.1)	Oxidative stress	 	 
fig|1107311.11.peg.10	CDS	NZ_AVCS01000001	10387	10106	-1	-	282	FIG00648872: hypothetical protein	- none -	 	 
fig|1107311.11.peg.11	CDS	NZ_AVCS01000001	11050	10388	-1	-	663	Phosphatidylserine decarboxylase (EC 4.1.1.65)	- none -	 	 
fig|1107311.11.peg.12	CDS	NZ_AVCS01000001	11849	11031	-2	-	819	Phosphatidate cytidylyltransferase (EC 2.7.7.41)	- none -	 	 
fig|1107311.11.peg.13	CDS	NZ_AVCS01000001	12453	11851	-3	-	603	hypothetical protein	- none -	 	 
fig|1107311.11.peg.14	CDS	NZ_AVCS01000001	14502	12565	-3	-	1938	Cell division-associated, ATP-dependent zinc metalloprotease FtsH	- none -	 	 
fig|1107311.11.peg.15	CDS	NZ_AVCS01000001	14886	14515	-3	-	372	Ribosomal silencing factor RsfA	- none -	 	 
fig|1107311.11.peg.16	CDS	NZ_AVCS01000001	14981	15712	2	+	732	Biotin--protein ligase (EC 6.3.4.9)(EC 6.3.4.10)(EC 6.3.4.11)(EC 6.3.4.15)	- none -	 	 
fig|1107311.11.peg.17	CDS	NZ_AVCS01000001	16161	15769	-3	-	393	hypothetical protein	- none -	 	 
fig|1107311.11.peg.18	CDS	NZ_AVCS01000001	16922	16275	-2	-	648	Orotate phosphoribosyltransferase (EC 2.4.2.10)	- none -	 	 
fig|1107311.11.peg.19	CDS	NZ_AVCS01000001	16930	17529	1	+	600	NUDIX hydrolase-like protein CHU_2668	- none -	 	 
fig|1107311.11.peg.20	CDS	NZ_AVCS01000001	17574	17738	3	+	165	hypothetical protein	- none -	 	 
fig|1107311.11.peg.21	CDS	NZ_AVCS01000001	19511	17778	-2	-	1734	Gll2474 protein	- none -	 	 
fig|1107311.11.peg.22	CDS	NZ_AVCS01000001	19972	19517	-1	-	456	Phosphopantetheine adenylyltransferase (EC 2.7.7.3)	CBSS-266117.6.peg.1260; <br>CBSS-269801.1.peg.1715; <br>Coenzyme A Biosynthesis	 	 
fig|1107311.11.peg.23	CDS	NZ_AVCS01000001	20955	19984	-3	-	972	D-alanine--D-alanine ligase (EC 6.3.2.4)	- none -	 	 
fig|1107311.11.peg.24	CDS	NZ_AVCS01000001	21145	21777	1	+	633	hypothetical protein	- none -	 	 
fig|1107311.11.peg.25	CDS	NZ_AVCS01000001	21767	22813	2	+	1047	LSU rRNA pseudouridine(1911/1915/1917) synthase (EC 5.4.99.23)	- none -	 	 
fig|1107311.11.peg.26	CDS	NZ_AVCS01000001	23499	22852	-3	-	648	hypothetical protein	- none -	 	 
fig|1107311.11.peg.27	CDS	NZ_AVCS01000001	23900	23604	-2	-	297	hypothetical protein	- none -	 	 
fig|1107311.11.peg.28	CDS	NZ_AVCS01000001	24080	23949	-2	-	132	hypothetical protein	- none -	 	 
fig|1107311.11.peg.29	CDS	NZ_AVCS01000001	24093	25112	3	+	1020	Dihydroorotate dehydrogenase (quinone) (EC 1.3.5.2)	- none -	 	 
fig|1107311.11.peg.30	CDS	NZ_AVCS01000001	25152	26015	3	+	864	Hydroxymethylglutaryl-CoA lyase (EC 4.1.3.4)	- none -	 	 
fig|1107311.11.peg.31	CDS	NZ_AVCS01000001	26131	27372	1	+	1242	hypothetical protein	- none -	 	 
fig|1107311.11.peg.32	CDS	NZ_AVCS01000001	27447	28562	3	+	1116	Iron-regulated protein A precursor	- none -	 	 
