Feature ID	Type	Contig	Start	Stop	Frame	Strand	Length (bp)	Function	Subsystem	NCBI GI	locus
fig|1492738.8.peg.1	CDS	NZ_JNCA01000001	1048	98	-1	-	951	hypothetical protein	- none -	 	 
fig|1492738.8.peg.2	CDS	NZ_JNCA01000001	1330	3843	1	+	2514	hypothetical protein	- none -	 	 
fig|1492738.8.peg.3	CDS	NZ_JNCA01000001	3900	4964	3	+	1065	NADH-dependent dehydrogenase	- none -	 	 
fig|1492738.8.peg.4	CDS	NZ_JNCA01000001	4961	6544	2	+	1584	SSS sodium solute transporter superfamily	- none -	 	 
fig|1492738.8.peg.5	CDS	NZ_JNCA01000001	6546	8726	3	+	2181	alpha-L-rhamnosidase (EC 3.2.1.40)	- none -	 	 
fig|1492738.8.peg.6	CDS	NZ_JNCA01000001	8789	10450	2	+	1662	hypothetical protein	- none -	 	 
fig|1492738.8.peg.7	CDS	NZ_JNCA01000001	10529	11659	2	+	1131	Beta-galactosidase	- none -	 	 
fig|1492738.8.peg.8	CDS	NZ_JNCA01000001	11698	15075	1	+	3378	beta-galactosidase (EC 3.2.1.23)	- none -	 	 
fig|1492738.8.peg.9	CDS	NZ_JNCA01000001	15180	18590	3	+	3411	putative secreted protein	- none -	 	 
fig|1492738.8.peg.10	CDS	NZ_JNCA01000001	18683	20110	2	+	1428	Sialic acid-specific 9-O-acetylesterase	- none -	 	 
fig|1492738.8.peg.11	CDS	NZ_JNCA01000001	20214	22532	3	+	2319	hypothetical protein	- none -	 	 
fig|1492738.8.peg.12	CDS	NZ_JNCA01000001	22663	25131	1	+	2469	Pectate lyase (EC 4.2.2.2)	- none -	 	 
fig|1492738.8.peg.13	CDS	NZ_JNCA01000001	25225	27240	1	+	2016	Putative glycosyl hydrolase of unknown function (DUF1680)	- none -	 	 
fig|1492738.8.peg.14	CDS	NZ_JNCA01000001	27579	30830	3	+	3252	Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family	- none -	 	 
fig|1492738.8.peg.15	CDS	NZ_JNCA01000001	30855	32876	3	+	2022	Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family	- none -	 	 
fig|1492738.8.peg.16	CDS	NZ_JNCA01000001	33001	34719	1	+	1719	Pectate lyase (EC 4.2.2.2)	- none -	 	 
fig|1492738.8.peg.17	CDS	NZ_JNCA01000001	34808	35473	2	+	666	hypothetical protein	- none -	 	 
fig|1492738.8.peg.18	CDS	NZ_JNCA01000001	35514	37208	3	+	1695	Pectate lyase (EC 4.2.2.2)	- none -	 	 
fig|1492738.8.peg.19	CDS	NZ_JNCA01000001	37220	37876	2	+	657	FIG00404151: hypothetical protein	- none -	 	 
fig|1492738.8.peg.20	CDS	NZ_JNCA01000001	37943	41104	2	+	3162	hypothetical protein	- none -	 	 
fig|1492738.8.peg.21	CDS	NZ_JNCA01000001	41107	42519	1	+	1413	hypothetical protein	- none -	 	 
fig|1492738.8.peg.22	CDS	NZ_JNCA01000001	42701	44272	2	+	1572	Polygalacturonase (EC 3.2.1.15)	D-Galacturonate and D-Glucuronate Utilization	 	 
fig|1492738.8.peg.23	CDS	NZ_JNCA01000001	44372	45289	2	+	918	Arabinosidase	- none -	 	 
fig|1492738.8.peg.24	CDS	NZ_JNCA01000001	45289	47154	1	+	1866	hypothetical protein	- none -	 	 
fig|1492738.8.peg.25	CDS	NZ_JNCA01000001	47231	50002	2	+	2772	alpha-rhamnosidase	- none -	 	 
fig|1492738.8.peg.26	CDS	NZ_JNCA01000001	50007	51440	3	+	1434	conserved hypothetical protein-putative secreted protein	- none -	 	 
fig|1492738.8.peg.27	CDS	NZ_JNCA01000001	51424	53901	1	+	2478	Putative large secreted protein SCO0341	- none -	 	 
fig|1492738.8.peg.28	CDS	NZ_JNCA01000001	54089	55657	2	+	1569	hypothetical protein	- none -	 	 
fig|1492738.8.peg.29	CDS	NZ_JNCA01000001	55883	58633	2	+	2751	alpha-L-rhamnosidase (EC 3.2.1.40)	- none -	 	 
fig|1492738.8.peg.30	CDS	NZ_JNCA01000001	58728	59873	3	+	1146	hypothetical protein	- none -	 	 
fig|1492738.8.peg.31	CDS	NZ_JNCA01000001	59952	60845	3	+	894	hypothetical protein	- none -	 	 
fig|1492738.8.peg.32	CDS	NZ_JNCA01000001	60889	63612	1	+	2724	hypothetical protein	- none -	 	 
fig|1492738.8.peg.33	CDS	NZ_JNCA01000001	63675	67193	3	+	3519	beta-galactosidase (EC 3.2.1.23)	- none -	 	 
fig|1492738.8.peg.34	CDS	NZ_JNCA01000001	67232	69667	2	+	2436	beta-galactosidase (EC 3.2.1.23)	- none -	 	 
fig|1492738.8.peg.35	CDS	NZ_JNCA01000001	69814	72165	1	+	2352	hypothetical protein	- none -	 	 
fig|1492738.8.peg.36	CDS	NZ_JNCA01000001	72288	74180	3	+	1893	Uncharacterized protease YdcP	- none -	 	 
fig|1492738.8.peg.37	CDS	NZ_JNCA01000001	74716	74384	-1	-	333	hypothetical protein	- none -	 	 
fig|1492738.8.peg.38	CDS	NZ_JNCA01000001	75365	74955	-2	-	411	hypothetical protein	- none -	 	 
fig|1492738.8.peg.39	CDS	NZ_JNCA01000001	76623	75478	-3	-	1146	Lycopene beta-cyclase (EC 5.5.1.19)	- none -	 	 
fig|1492738.8.peg.40	CDS	NZ_JNCA01000001	78981	76678	-3	-	2304	TonB-dependent receptor; Outer membrane receptor for ferrienterochelin and colicins	Ton and Tol transport systems	 	 
fig|1492738.8.peg.41	CDS	NZ_JNCA01000001	79276	79151	-1	-	126	hypothetical protein	- none -	 	 
fig|1492738.8.peg.42	CDS	NZ_JNCA01000001	80284	79328	-1	-	957	hypothetical protein	- none -	 	 
fig|1492738.8.peg.43	CDS	NZ_JNCA01000001	82717	80300	-1	-	2418	TonB-dependent receptor	Ton and Tol transport systems	 	 
fig|1492738.8.peg.44	CDS	NZ_JNCA01000001	83830	82832	-1	-	999	hypothetical protein	- none -	 	 
fig|1492738.8.peg.45	CDS	NZ_JNCA01000001	84331	83858	-1	-	474	hypothetical protein	- none -	 	 
fig|1492738.8.peg.46	CDS	NZ_JNCA01000001	85102	84752	-1	-	351	hypothetical protein	- none -	 	 
fig|1492738.8.peg.47	CDS	NZ_JNCA01000001	85223	85603	2	+	381	Zinc uptake regulation protein Zur	- none -	 	 
fig|1492738.8.peg.48	CDS	NZ_JNCA01000001	85645	87549	1	+	1905	Manganese transport protein MntH	- none -	 	 
fig|1492738.8.peg.49	CDS	NZ_JNCA01000001	87638	88291	2	+	654	Mn-dependent transcriptional regulator MntR	- none -	 	 
fig|1492738.8.peg.50	CDS	NZ_JNCA01000001	88516	88391	-1	-	126	hypothetical protein	- none -	 	 
fig|1492738.8.peg.51	CDS	NZ_JNCA01000001	90622	88523	-1	-	2100	Ferrous iron transporter FeoB	- none -	 	 
fig|1492738.8.peg.52	CDS	NZ_JNCA01000001	90861	90622	-3	-	240	Ferrous iron transporter-associated protein FeoA	- none -	 	 
