Function,Subsystem,NCBI GI,locus,System,Category
"Fic domain protein, PA0574 type",- none -, , ,none,none
Lipase-related protein,- none -, , ,none,none
Retron-type RNA-directed DNA polymerase (EC 2.7.7.49),DNA polymerase; Group II intron-associated genes, , ,DNA replication; RNA Metabolism - no subcategory,DNA Metabolism; RNA Metabolism
"Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)",<br>Type I Restriction-Modification; Restriction-Modification System; Type I Restriction-Modification, , ,DNA Metabolism - no subcategory,DNA Metabolism
"Type I restriction-modification system, specificity subunit S",Type I Restriction-Modification, , ,DNA Metabolism - no subcategory,DNA Metabolism
"Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72)",Restriction-Modification System; <br>Type I Restriction-Modification, , ,DNA Metabolism - no subcategory,DNA Metabolism
Mobilization protein BmgA,- none -, , ,none,none
"DNA primase, TraP-type",- none -, , ,none,none
DNA primase (EC 2.7.7.-),CBSS-349161.4.peg.2417, , ,none,none
putative excisionase,- none -, , ,none,none
SSU ribosomal protein S20p,Ribosome LSU/SSU bacterial; Ribosome SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
"Prolyl-tRNA synthetase (EC 6.1.1.15), archaeal/eukaryal type","tRNA aminoacylation, Pro", , ,Protein biosynthesis,Protein Metabolism
putative hemin receptor,- none -, , ,none,none
Ribosomal protein S12p Asp88 (E. coli) methylthiotransferase (EC 2.8.4.4),Ribosome LSU/SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
Neuropeptide-like protein 29 precursor,- none -, , ,none,none
N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28),Murein Hydrolases; <br>Recycling of Peptidoglycan Amino Acids, , ,Cell Wall and Capsule - no subcategory,Cell Wall and Capsule
Propionyl-CoA carboxylase beta chain (EC 6.4.1.3),- none -, , ,none,none
Pyruvate carboxylase subunit A (EC 6.4.1.1),- none -, , ,none,none
Biotin carboxyl carrier protein of acetyl-CoA carboxylase; Biotin carboxyl carrier protein,Fatty Acid Biosynthesis FASII; <br>Fatty Acid Biosynthesis FASII, , ,Fatty acids,"Fatty Acids, Lipids, and Isoprenoids"
FIG00653582: hypothetical protein,- none -, , ,none,none
Uncharacterized MFS-type transporter YhjE,none, , ,Membrane Transport - no subcategory,Membrane Transport
RNA polymerase ECF-type sigma factor,"Transcription initiation, bacterial sigma factors", , ,Transcription,RNA Metabolism
anti-FecI sigma factor FecR,"Transcription initiation, bacterial sigma factors", , ,Transcription,RNA Metabolism
"Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family",Ton and Tol transopt system; none, , ,Membrane Transport - no subcategory,Membrane Transport
"Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family",Ton and Tol transopt system; none, , ,Membrane Transport - no subcategory,Membrane Transport
"Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family",- none -, , ,none,none
Glucosaminyl-malate:cysteine ligase,- none -, , ,none,none
Nucleoside diphosphate kinase (EC 2.7.4.6),Purine conversions; <br>pyrimidine conversions, , ,Purines; Pyrimidines,Nucleosides and Nucleotides
"putative oxidoreductase, nitronate monooxygenase family",- none -, , ,none,none
tRNA-specific 2-thiouridylase MnmA (EC 2.8.1.13),RNA methylation, , ,RNA processing and modification,RNA Metabolism
FIG01057005: hypothetical protein,- none -, , ,none,none
Secreted and surface protein containing fasciclin-like repeats,- none -, , ,none,none
"Inner membrane protein translocase and chaperone YidC, long form",Protein transport, , ,Protein transport,Membrane Transport
CTP synthase (EC 6.3.4.2),pyrimidine conversions, , ,Pyrimidines,Nucleosides and Nucleotides
Uncharacterized protein YpeB,- none -, , ,none,none
putative stress-induced protein OsmC,- none -, , ,none,none
LysM-repeat proteins and domains,- none -, , ,none,none
"GMP synthase [glutamine-hydrolyzing], amidotransferase subunit (EC 6.3.5.2) / GMP synthase [glutamine-hydrolyzing], ATP pyrophosphatase subunit (EC 6.3.5.2)",GMP synthase; <br>GMP synthase; <br>Purine conversions; <br>Purine conversions; <br>Purine salvage cluster; <br>Purine salvage cluster, , ,Purines,Nucleosides and Nucleotides
"RidA/YER057c/UK114 superfamily, group 6",- none -, , ,none,none
EriC-type fluoride/proton exchange protein,- none -, , ,none,none
"3&#39;-to-5&#39; oligoribonuclease A, Bacillus type",Nuclease, , ,RNA processing and modification,RNA Metabolism
GldI,- none -, , ,none,none
Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8),- none -, , ,none,none
Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8),- none -, , ,none,none
"Acetyltransferase, GNAT family",- none -, , ,none,none
Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1),De Novo Purine Biosynthesis, , ,Purines,Nucleosides and Nucleotides
Curli production assembly/transport component CsgG,Curli production; none, , ,"Membrane Transport - no subcategory; Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)",Membrane Transport
Curli production assembly/transport component CsgF,Curli production; none, , ,"Membrane Transport - no subcategory; Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)",Membrane Transport
"Minor curlin subunit CsgB, nucleation component of curlin monomers",Curli production, , ,"Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)",Membrane Transport
