Feature ID	Type	Contig	Start	Stop	Frame	Strand	Length (bp)	Function	Subsystem	NCBI GI	locus
fig|1774945.8.peg.1	CDS	NZ_WQLW01000001	151	891	1	+	741	hypothetical protein	- none -	 	 
fig|1774945.8.peg.2	CDS	NZ_WQLW01000001	1083	1484	3	+	402	hypothetical protein	- none -	 	 
fig|1774945.8.peg.3	CDS	NZ_WQLW01000001	1656	1973	3	+	318	hypothetical protein	- none -	 	 
fig|1774945.8.peg.4	CDS	NZ_WQLW01000001	1982	2305	2	+	324	hypothetical protein	- none -	 	 
fig|1774945.8.peg.5	CDS	NZ_WQLW01000001	2711	2872	2	+	162	hypothetical protein	- none -	 	 
fig|1774945.8.peg.6	CDS	NZ_WQLW01000001	3099	3449	3	+	351	hypothetical protein	- none -	 	 
fig|1774945.8.peg.7	CDS	NZ_WQLW01000001	3711	4619	3	+	909	hypothetical protein	- none -	 	 
fig|1774945.8.peg.8	CDS	NZ_WQLW01000001	4808	5287	2	+	480	hypothetical protein	- none -	 	 
fig|1774945.8.peg.9	CDS	NZ_WQLW01000001	5484	5948	3	+	465	hypothetical protein	- none -	 	 
fig|1774945.8.peg.10	CDS	NZ_WQLW01000001	6018	6629	3	+	612	hypothetical protein	- none -	 	 
fig|1774945.8.peg.11	CDS	NZ_WQLW01000001	6834	7373	3	+	540	hypothetical protein	- none -	 	 
fig|1774945.8.peg.12	CDS	NZ_WQLW01000001	7460	8374	2	+	915	hypothetical protein	- none -	 	 
fig|1774945.8.peg.13	CDS	NZ_WQLW01000001	9135	9959	3	+	825	hypothetical protein	- none -	 	 
fig|1774945.8.peg.14	CDS	NZ_WQLW01000001	9996	10793	3	+	798	hypothetical protein	- none -	 	 
fig|1774945.8.peg.15	CDS	NZ_WQLW01000001	11123	11986	2	+	864	hypothetical protein	- none -	 	 
fig|1774945.8.peg.16	CDS	NZ_WQLW01000001	12039	12737	3	+	699	hypothetical protein	- none -	 	 
fig|1774945.8.peg.17	CDS	NZ_WQLW01000001	12959	13597	2	+	639	hypothetical protein	- none -	 	 
fig|1774945.8.peg.18	CDS	NZ_WQLW01000001	13607	14137	2	+	531	hypothetical protein	- none -	 	 
fig|1774945.8.peg.19	CDS	NZ_WQLW01000001	14191	14679	1	+	489	hypothetical protein	- none -	 	 
fig|1774945.8.peg.20	CDS	NZ_WQLW01000001	14739	16313	3	+	1575	hypothetical protein	- none -	 	 
fig|1774945.8.peg.21	CDS	NZ_WQLW01000001	16385	17017	2	+	633	Biotin synthesis protein BioC	Biotin biosynthesis; <br>Biotin biosynthesis Experimental	 	 
fig|1774945.8.peg.22	CDS	NZ_WQLW01000001	17034	17585	3	+	552	Dihydrofolate reductase (EC 1.5.1.3)	5-FCL-like protein; <br>Folate Biosynthesis	 	 
fig|1774945.8.peg.23	CDS	NZ_WQLW01000001	18604	17615	-1	-	990	Transcriptional regulator, AraC family	- none -	 	 
fig|1774945.8.peg.24	CDS	NZ_WQLW01000001	18716	19294	2	+	579	hypothetical protein	- none -	 	 
fig|1774945.8.peg.25	CDS	NZ_WQLW01000001	19299	19727	3	+	429	hypothetical protein	- none -	 	 
fig|1774945.8.peg.26	CDS	NZ_WQLW01000001	19820	20569	2	+	750	SAM-dependent methyltransferase	- none -	 	 
fig|1774945.8.peg.27	CDS	NZ_WQLW01000001	20571	21020	3	+	450	hypothetical protein	- none -	 	 
fig|1774945.8.peg.28	CDS	NZ_WQLW01000001	21137	21916	2	+	780	Vitamin B12 ABC transporter, ATP-binding protein BtuD	- none -	 	 
