Feature ID	Type	Contig	Start	Stop	Frame	Strand	Length (bp)	Function	Subsystem	NCBI GI	locus
fig|1736533.8.peg.1	CDS	NZ_LMEF01000001	883	83	-1	-	801	Putative transposase InsK for insertion sequence element IS150	- none -	 	 
fig|1736533.8.peg.2	CDS	NZ_LMEF01000001	1443	916	-3	-	528	Mobile element protein	- none -	 	 
fig|1736533.8.peg.3	CDS	NZ_LMEF01000001	2078	1632	-2	-	447	hypothetical protein	- none -	 	 
fig|1736533.8.peg.4	CDS	NZ_LMEF01000001	2902	2267	-1	-	636	hypothetical protein	- none -	 	 
fig|1736533.8.peg.5	CDS	NZ_LMEF01000001	3330	3136	-3	-	195	hypothetical protein	- none -	 	 
fig|1736533.8.peg.6	CDS	NZ_LMEF01000001	3646	5094	1	+	1449	2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases	- none -	 	 
fig|1736533.8.peg.7	CDS	NZ_LMEF01000001	5608	5102	-1	-	507	Two-component response regulator	- none -	 	 
fig|1736533.8.peg.8	CDS	NZ_LMEF01000001	5826	8090	3	+	2265	diguanylate cyclase/phosphodiesterase (GGDEF & EAL domains) with PAS/PAC sensor(s)	- none -	 	 
fig|1736533.8.peg.9	CDS	NZ_LMEF01000001	8101	8541	1	+	441	Two-component transcriptional response regulator, LuxR family	- none -	 	 
fig|1736533.8.peg.10	CDS	NZ_LMEF01000001	8576	9907	2	+	1332	diguanylate cyclase/phosphodiesterase (GGDEF & EAL domains) with PAS/PAC sensor(s)	- none -	 	 
fig|1736533.8.peg.11	CDS	NZ_LMEF01000001	10206	11780	3	+	1575	Na+/H+ antiporter	- none -	 	 
fig|1736533.8.peg.12	CDS	NZ_LMEF01000001	12106	11867	-1	-	240	hypothetical protein	- none -	 	 
fig|1736533.8.peg.13	CDS	NZ_LMEF01000001	12872	12231	-2	-	642	hypothetical protein	- none -	 	 
fig|1736533.8.peg.14	CDS	NZ_LMEF01000001	13156	14160	1	+	1005	Oxidoreductase, short-chain dehydrogenase/reductase family	- none -	 	 
fig|1736533.8.peg.15	CDS	NZ_LMEF01000001	14378	15115	2	+	738	hypothetical protein	- none -	 	 
fig|1736533.8.peg.16	CDS	NZ_LMEF01000001	15550	17091	1	+	1542	hypothetical protein	- none -	 	 
fig|1736533.8.peg.17	CDS	NZ_LMEF01000001	17945	18433	2	+	489	hypothetical protein	- none -	 	 
fig|1736533.8.peg.18	CDS	NZ_LMEF01000001	18444	20867	3	+	2424	TonB-dependent receptor	Ton and Tol transport systems	 	 
fig|1736533.8.peg.19	CDS	NZ_LMEF01000001	20905	21810	1	+	906	hypothetical protein	- none -	 	 
fig|1736533.8.peg.20	CDS	NZ_LMEF01000001	21850	23064	1	+	1215	hypothetical protein	- none -	 	 
fig|1736533.8.peg.21	CDS	NZ_LMEF01000001	25141	23132	-1	-	2010	Regulatory sensor-transducer, BlaR1/MecR1 family / TonB-dependent receptor	Ton and Tol transport systems	 	 
fig|1736533.8.peg.22	CDS	NZ_LMEF01000001	25500	25138	-3	-	363	Transcriptional regulator, MecI family	- none -	 	 
fig|1736533.8.peg.23	CDS	NZ_LMEF01000001	25918	26721	1	+	804	hypothetical protein	- none -	 	 
fig|1736533.8.peg.24	CDS	NZ_LMEF01000001	26723	28162	2	+	1440	hypothetical protein	- none -	 	 
fig|1736533.8.peg.25	CDS	NZ_LMEF01000001	28346	28203	-2	-	144	hypothetical protein	- none -	 	 
fig|1736533.8.peg.26	CDS	NZ_LMEF01000001	28538	29596	2	+	1059	FIG01423360: glycoside hydrolase	- none -	 	 
fig|1736533.8.peg.27	CDS	NZ_LMEF01000001	29692	30348	1	+	657	hypothetical protein	- none -	 	 
fig|1736533.8.peg.28	CDS	NZ_LMEF01000001	30408	32591	3	+	2184	hypothetical protein	- none -	 	 
fig|1736533.8.peg.29	CDS	NZ_LMEF01000001	32619	33377	3	+	759	Short-chain alcohol dehydrogenase	- none -	 	 
fig|1736533.8.peg.30	CDS	NZ_LMEF01000001	33533	35674	2	+	2142	Catalase KatE-intracellular protease (EC 1.11.1.6)	- none -	 	 
fig|1736533.8.peg.31	CDS	NZ_LMEF01000001	35693	36265	2	+	573	Stress response diiron-containing protein YciF	- none -	 	 
