Feature ID	Type	Contig	Start	Stop	Frame	Strand	Length (bp)	Function	Subsystem	NCBI GI	locus
fig|991.25.peg.1	CDS	NZ_MUGY01000001	539	276	-2	-	264	hypothetical protein	- none -	 	 
fig|991.25.peg.2	CDS	NZ_MUGY01000001	1654	752	-1	-	903	Phenazine biosynthesis protein PhzF like	- none -	 	 
fig|991.25.peg.3	CDS	NZ_MUGY01000001	2200	1715	-1	-	486	hypothetical protein	- none -	 	 
fig|991.25.peg.4	CDS	NZ_MUGY01000001	3033	2263	-3	-	771	MBL-fold metallo-hydrolase superfamily	- none -	 	 
fig|991.25.peg.5	CDS	NZ_MUGY01000001	3370	3038	-1	-	333	hypothetical protein	- none -	 	 
fig|991.25.peg.6	CDS	NZ_MUGY01000001	3635	3805	2	+	171	hypothetical protein	- none -	 	 
fig|991.25.peg.7	CDS	NZ_MUGY01000001	3876	4415	3	+	540	hypothetical protein	- none -	 	 
fig|991.25.peg.8	CDS	NZ_MUGY01000001	4661	5932	2	+	1272	Seryl-tRNA synthetase (EC 6.1.1.11)	Glycine and Serine Utilization; <br>tRNA aminoacylation, Ser	 	 
fig|991.25.peg.9	CDS	NZ_MUGY01000001	6054	7832	3	+	1779	Secreted protein containing tetratricopeptide re peats	- none -	 	 
fig|991.25.peg.10	CDS	NZ_MUGY01000001	7892	8203	2	+	312	hypothetical protein	- none -	 	 
fig|991.25.peg.11	CDS	NZ_MUGY01000001	8518	9297	1	+	780	SSU rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase (EC 2.1.1.182)	ECSIG4-SIG7; <br>RNA methylation	 	 
fig|991.25.peg.12	CDS	NZ_MUGY01000001	9287	10693	2	+	1407	Mg/Co/Ni transporter MgtE, CBS domain-containing	- none -	 	 
fig|991.25.peg.13	CDS	NZ_MUGY01000001	10806	11582	3	+	777	Pyrroline-5-carboxylate reductase (EC 1.5.1.2)	Proline Synthesis	 	 
fig|991.25.peg.14	CDS	NZ_MUGY01000001	12821	11670	-2	-	1152	Na+/H+ antiporter NhaA type	NhaA, NhaD and Sodium-dependent phosphate transporters	 	 
fig|991.25.peg.15	CDS	NZ_MUGY01000001	12991	13935	1	+	945	D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	Glycine and Serine Utilization; <br>Pyridoxin (Vitamin B6) Biosynthesis; <br>Serine Biosynthesis	 	 
fig|991.25.peg.16	CDS	NZ_MUGY01000001	14018	14296	2	+	279	Tsr1131 protein	- none -	 	 
fig|991.25.peg.17	CDS	NZ_MUGY01000001	14495	14812	2	+	318	FIG00473056: hypothetical protein	- none -	 	 
fig|991.25.peg.18	CDS	NZ_MUGY01000001	14816	15229	2	+	414	hypothetical protein	- none -	 	 
fig|991.25.peg.19	CDS	NZ_MUGY01000001	15226	15672	1	+	447	hypothetical protein	- none -	 	 
fig|991.25.peg.20	CDS	NZ_MUGY01000001	15656	16456	2	+	801	hypothetical protein	- none -	 	 
fig|991.25.peg.21	CDS	NZ_MUGY01000001	18353	16551	-2	-	1803	Putative hemolysin	- none -	 	 
fig|991.25.peg.22	CDS	NZ_MUGY01000001	18470	19234	2	+	765	Exodeoxyribonuclease III (EC 3.1.11.2)	DNA repair, bacterial	 	 
fig|991.25.peg.23	CDS	NZ_MUGY01000001	19423	20382	1	+	960	OmpA domain protein	- none -	 	 
fig|991.25.peg.24	CDS	NZ_MUGY01000001	20968	21219	1	+	252	hypothetical protein	- none -	 	 
fig|991.25.peg.25	CDS	NZ_MUGY01000001	21212	21511	2	+	300	hypothetical protein	- none -	 	 
fig|991.25.peg.26	CDS	NZ_MUGY01000001	21673	22710	1	+	1038	Tas protein, an NADP(H)-dependent aldo-keto reductase	- none -	 	 
fig|991.25.peg.27	CDS	NZ_MUGY01000001	24506	22872	-2	-	1635	hypothetical protein	- none -	 	 
fig|991.25.peg.28	CDS	NZ_MUGY01000001	25189	24575	-1	-	615	hypothetical protein	- none -	 	 
fig|991.25.peg.29	CDS	NZ_MUGY01000001	26382	25222	-3	-	1161	FIG00652135: hypothetical protein	- none -	 	 
fig|991.25.peg.30	CDS	NZ_MUGY01000001	26587	28401	1	+	1815	hypothetical protein	- none -	 	 
fig|991.25.peg.31	CDS	NZ_MUGY01000001	28401	29147	3	+	747	Response regulator	- none -	 	 
fig|991.25.peg.32	CDS	NZ_MUGY01000001	31177	29213	-1	-	1965	Transglycosylase	- none -	 	 
fig|991.25.peg.33	CDS	NZ_MUGY01000001	31403	31891	2	+	489	hypothetical protein	- none -	 	 
fig|991.25.peg.34	CDS	NZ_MUGY01000001	33339	31978	-3	-	1362	DNA repair protein RadA	DNA repair, bacterial; <br>Proteolysis in bacteria, ATP-dependent	 	 
fig|991.25.peg.35	CDS	NZ_MUGY01000001	34490	33339	-2	-	1152	Putative esterase	- none -	 	 
fig|991.25.peg.36	CDS	NZ_MUGY01000001	35032	34682	-1	-	351	Aspartate 1-decarboxylase (EC 4.1.1.11)	Coenzyme A Biosynthesis; <br>Coenzyme A Biosynthesis cluster; <br>Folate biosynthesis cluster	 	 
fig|991.25.peg.37	CDS	NZ_MUGY01000001	35925	35047	-3	-	879	Pantoate--beta-alanine ligase (EC 6.3.2.1)	Coenzyme A Biosynthesis; <br>Coenzyme A Biosynthesis cluster; <br>Folate biosynthesis cluster	 	 
fig|991.25.peg.38	CDS	NZ_MUGY01000001	36004	36810	1	+	807	Similar to glycogen synthase (EC 2.4.1.21)	- none -	 	 
fig|991.25.peg.39	CDS	NZ_MUGY01000001	36832	38427	1	+	1596	hypothetical protein	- none -	 	 
fig|991.25.peg.40	CDS	NZ_MUGY01000001	38439	40286	3	+	1848	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16)	- none -	 	 
fig|991.25.peg.41	CDS	NZ_MUGY01000001	40436	41164	2	+	729	hypothetical protein	- none -	 	 
fig|991.25.peg.42	CDS	NZ_MUGY01000001	41170	42159	1	+	990	hypothetical protein	- none -	 	 
fig|991.25.peg.43	CDS	NZ_MUGY01000001	42465	45272	3	+	2808	TonB-dependent receptor	Ton and Tol transport systems	 	 
fig|991.25.peg.44	CDS	NZ_MUGY01000001	45350	46801	2	+	1452	hypothetical protein	- none -	 	 
fig|991.25.peg.45	CDS	NZ_MUGY01000001	47036	48547	2	+	1512	ATP synthase beta chain (EC 3.6.3.14)	F0F1-type ATP synthase	 	 
fig|991.25.peg.46	CDS	NZ_MUGY01000001	48618	48899	3	+	282	ATP synthase epsilon chain (EC 3.6.3.14)	F0F1-type ATP synthase	 	 
fig|991.25.peg.47	CDS	NZ_MUGY01000001	49774	48968	-1	-	807	hypothetical protein	- none -	 	 
fig|991.25.peg.48	CDS	NZ_MUGY01000001	50039	50677	2	+	639	Flavin reductase (EC 1.5.1.30)	- none -	 	 
fig|991.25.peg.49	CDS	NZ_MUGY01000001	50756	51892	2	+	1137	8-amino-7-oxononanoate synthase (EC 2.3.1.47)	Biotin biosynthesis; <br>Biotin biosynthesis Experimental	 	 
fig|991.25.peg.50	CDS	NZ_MUGY01000001	52089	52280	3	+	192	hypothetical protein	- none -	 	 
fig|991.25.peg.51	CDS	NZ_MUGY01000001	52333	53196	1	+	864	hypothetical protein	- none -	 	 
fig|991.25.peg.52	CDS	NZ_MUGY01000001	53282	53707	2	+	426	RNA polymerase ECF-type sigma factor	- none -	 	 
fig|991.25.peg.53	CDS	NZ_MUGY01000001	53697	54311	3	+	615	hypothetical protein	- none -	 	 
fig|991.25.peg.54	CDS	NZ_MUGY01000001	54386	55018	2	+	633	Dethiobiotin synthase BioD (EC 6.3.3.3)	- none -	 	 
fig|991.25.peg.55	CDS	NZ_MUGY01000001	55046	56317	2	+	1272	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62)	Biotin biosynthesis; <br>Biotin biosynthesis Experimental	 	 
fig|991.25.peg.56	CDS	NZ_MUGY01000001	56392	57558	1	+	1167	3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.179)	- none -	 	 
fig|991.25.peg.57	CDS	NZ_MUGY01000001	58074	57598	-3	-	477	Regulatory protein RecX	DNA repair system including RecA, MutS and a hypothetical protein; <br>RecA and RecX	 	 
fig|991.25.peg.58	CDS	NZ_MUGY01000001	58520	64972	2	+	6453	hypothetical protein	- none -	 	 
fig|991.25.peg.59	CDS	NZ_MUGY01000001	65578	69936	1	+	4359	hypothetical protein	- none -	 	 
fig|991.25.peg.60	CDS	NZ_MUGY01000001	70142	73999	2	+	3858	hypothetical protein	- none -	 	 
fig|991.25.peg.61	CDS	NZ_MUGY01000001	75145	74060	-1	-	1086	Biotin synthase (EC 2.8.1.6)	Biotin biosynthesis; <br>Biotin biosynthesis Experimental	 	 
fig|991.25.peg.62	CDS	NZ_MUGY01000001	75795	75358	-3	-	438	hypothetical protein	- none -	 	 
fig|991.25.peg.63	CDS	NZ_MUGY01000001	76840	75911	-1	-	930	FMN adenylyltransferase (EC 2.7.7.2) / Riboflavin kinase (EC 2.7.1.26)	Riboflavin, FMN and FAD metabolism; <br>Riboflavin, FMN and FAD metabolism; <br>riboflavin to FAD; <br>riboflavin to FAD	 	 
fig|991.25.peg.64	CDS	NZ_MUGY01000001	77034	79709	3	+	2676	hypothetical protein	- none -	 	 
fig|991.25.peg.65	CDS	NZ_MUGY01000001	80408	79725	-2	-	684	Competence protein F homolog, phosphoribosyltransferase domain; protein YhgH required for utilization of DNA as sole source of carbon and energy	Biotin biosynthesis Experimental	 	 
fig|991.25.peg.66	CDS	NZ_MUGY01000001	80507	82048	2	+	1542	Glycyl-tRNA synthetase (EC 6.1.1.14)	Glycyl-tRNA synthetase containing cluster; <br>tRNA aminoacylation, Gly	 	 
fig|991.25.peg.67	CDS	NZ_MUGY01000001	82408	83223	1	+	816	Autolysis response regulater LytR	- none -	 	 
fig|991.25.peg.68	CDS	NZ_MUGY01000001	83399	83638	2	+	240	hypothetical protein	- none -	 	 
fig|991.25.peg.69	CDS	NZ_MUGY01000001	83740	85797	1	+	2058	Two-component system sensor histidine kinase	- none -	 	 
fig|991.25.peg.70	CDS	NZ_MUGY01000001	85787	86479	2	+	693	Regulatory protein, LuxR:Response regulator receiver	- none -	 	 
fig|991.25.peg.71	CDS	NZ_MUGY01000001	87576	86530	-3	-	1047	Thiamine-monophosphate kinase (EC 2.7.4.16)	5-FCL-like protein; <br>Riboflavin synthesis cluster; <br>Thiamin biosynthesis	 	 
fig|991.25.peg.72	CDS	NZ_MUGY01000001	87736	88350	1	+	615	hypothetical protein	- none -	 	 
fig|991.25.peg.73	CDS	NZ_MUGY01000001	88453	88935	1	+	483	nuclease inhibitor	- none -	 	 
fig|991.25.peg.74	CDS	NZ_MUGY01000001	89959	89000	-1	-	960	Transcriptional regulator, YafY family	- none -	 	 
fig|991.25.peg.75	CDS	NZ_MUGY01000001	90848	90222	-2	-	627	hypothetical protein	- none -	 	 
fig|991.25.peg.76	CDS	NZ_MUGY01000001	92888	91092	-2	-	1797	Translation elongation factor LepA	Translation elongation factors bacterial	 	 
fig|991.25.peg.77	CDS	NZ_MUGY01000001	93675	93139	-3	-	537	hypothetical protein	- none -	 	 
fig|991.25.peg.78	CDS	NZ_MUGY01000001	94000	94356	1	+	357	hypothetical protein	- none -	 	 
fig|991.25.peg.79	CDS	NZ_MUGY01000001	94531	94980	1	+	450	hypothetical protein	- none -	 	 
fig|991.25.peg.80	CDS	NZ_MUGY01000001	95176	96201	1	+	1026	Phenylalanyl-tRNA synthetase alpha chain (EC 6.1.1.20)	tRNA aminoacylation, Phe	 	 
fig|991.25.peg.81	CDS	NZ_MUGY01000001	96282	96689	3	+	408	FIG00907129: hypothetical protein	- none -	 	 
fig|991.25.peg.82	CDS	NZ_MUGY01000001	97853	96858	-2	-	996	Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94)	Glycerol and Glycerol-3-phosphate Uptake and Utilization	 	 
fig|991.25.peg.83	CDS	NZ_MUGY01000001	99342	98185	-3	-	1158	NADH-dependent butanol dehydrogenase A (EC 1.1.1.-)	Butanol Biosynthesis	 	 
fig|991.25.peg.84	CDS	NZ_MUGY01000001	100289	99504	-2	-	786	Intracellular protease	- none -	 	 
fig|991.25.peg.85	CDS	NZ_MUGY01000001	100356	101252	3	+	897	Regulatory protein CysB	- none -	 	 
fig|991.25.peg.86	CDS	NZ_MUGY01000001	101342	102034	2	+	693	Hypothetical Nudix-like regulator	- none -	 	 
fig|991.25.peg.87	CDS	NZ_MUGY01000001	102078	102935	3	+	858	Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)	De Novo Purine Biosynthesis; <br>Pentose phosphate pathway	 	 
fig|991.25.peg.88	CDS	NZ_MUGY01000001	102932	103753	2	+	822	hypothetical protein	- none -	 	 
fig|991.25.peg.89	CDS	NZ_MUGY01000001	103757	104284	2	+	528	Uncharacterized protein COG3236	- none -	 	 
fig|991.25.peg.90	CDS	NZ_MUGY01000001	104292	104762	3	+	471	hypothetical protein	- none -	 	 
fig|991.25.peg.91	CDS	NZ_MUGY01000001	104828	105463	2	+	636	hypothetical protein	- none -	 	 
fig|991.25.peg.92	CDS	NZ_MUGY01000001	105469	106011	1	+	543	RNA:NAD 2&#39;-phosphotransferase	- none -	 	 
fig|991.25.peg.93	CDS	NZ_MUGY01000001	106014	106745	3	+	732	Serine/threonine protein phosphatase (EC 3.1.3.16)	- none -	 	 
fig|991.25.peg.94	CDS	NZ_MUGY01000001	106749	107687	3	+	939	ADP-ribosylglycohydrolase	- none -	 	 
fig|991.25.peg.95	CDS	NZ_MUGY01000001	107692	109161	1	+	1470	Nicotinamide phosphoribosyltransferase (EC 2.4.2.12)	NAD and NADP cofactor biosynthesis global	 	 
fig|991.25.peg.96	CDS	NZ_MUGY01000001	110003	109422	-2	-	582	Nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18)	NAD and NADP cofactor biosynthesis global	 	 
fig|991.25.peg.97	CDS	NZ_MUGY01000001	110535	110113	-3	-	423	hypothetical protein	- none -	 	 
fig|991.25.peg.98	CDS	NZ_MUGY01000001	111171	110599	-3	-	573	Guanylate kinase (EC 2.7.4.8)	Purine conversions	 	 
fig|991.25.peg.99	CDS	NZ_MUGY01000001	112103	111243	-2	-	861	UPF0701 protein YicC	- none -	 	 
fig|991.25.peg.100	CDS	NZ_MUGY01000001	112514	112161	-2	-	354	hypothetical protein	- none -	 	 
fig|991.25.peg.101	CDS	NZ_MUGY01000001	112572	113045	3	+	474	hypothetical protein	- none -	 	 
fig|991.25.peg.102	CDS	NZ_MUGY01000001	113547	113038	-3	-	510	Septum-associated rare lipoprotein A	- none -	 	 
fig|991.25.peg.103	CDS	NZ_MUGY01000001	114056	113634	-2	-	423	Uncharacterized protein Fjoh_0737	- none -	 	 
fig|991.25.peg.104	CDS	NZ_MUGY01000001	116978	114162	-2	-	2817	Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family	- none -	 	 
fig|991.25.peg.105	CDS	NZ_MUGY01000001	118942	117299	-1	-	1644	Glucose-6-phosphate isomerase (EC 5.3.1.9)	- none -	 	 
fig|991.25.peg.106	CDS	NZ_MUGY01000001	119393	119058	-2	-	336	Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family	- none -	 	 
fig|991.25.peg.107	CDS	NZ_MUGY01000001	120059	119439	-2	-	621	hypothetical protein	- none -	 	 
fig|991.25.peg.108	CDS	NZ_MUGY01000001	121317	120097	-3	-	1221	Peptidase, M23/M37 family	- none -	 	 
fig|991.25.peg.109	CDS	NZ_MUGY01000001	122277	121336	-3	-	942	Tryptophan 2,3-dioxygenase (EC 1.13.11.11)	Aromatic amino acid degradation; <br>NAD and NADP cofactor biosynthesis global	 	 
fig|991.25.peg.110	CDS	NZ_MUGY01000001	123044	122277	-2	-	768	ATP-dependent exoDNAse (exonuclease V) alpha subunit - helicase superfamily I member	- none -	 	 
fig|991.25.peg.111	CDS	NZ_MUGY01000001	124498	123338	-1	-	1161	4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27)	Aromatic amino acid degradation; <br>Homogentisate pathway of aromatic compound degradation	 	 
fig|991.25.peg.112	CDS	NZ_MUGY01000001	125889	124732	-3	-	1158	Homogentisate 1,2-dioxygenase (EC 1.13.11.5)	Homogentisate pathway of aromatic compound degradation	 	 
fig|991.25.peg.113	CDS	NZ_MUGY01000001	128515	126146	-1	-	2370	putative patatin-like phospholipase	- none -	 	 
fig|991.25.peg.114	CDS	NZ_MUGY01000001	129089	128589	-2	-	501	hypothetical protein	- none -	 	 
fig|991.25.peg.115	CDS	NZ_MUGY01000001	130893	129094	-3	-	1800	Excinuclease ABC subunit C	DNA repair, UvrABC system	 	 
fig|991.25.peg.116	CDS	NZ_MUGY01000001	131528	131001	-2	-	528	hypothetical protein	- none -	 	 
fig|991.25.peg.117	CDS	NZ_MUGY01000001	131630	132610	2	+	981	Predicted deacylase	- none -	 	 
fig|991.25.peg.118	CDS	NZ_MUGY01000001	132600	133166	3	+	567	5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2)	5-FCL-like protein; <br>Folate Biosynthesis; <br>One-carbon metabolism by tetrahydropterines	 	 
fig|991.25.peg.119	CDS	NZ_MUGY01000001	134630	133881	-2	-	750	Aerotolerance protein BatE	- none -	 	 
fig|991.25.peg.120	CDS	NZ_MUGY01000001	136481	134727	-2	-	1755	Aerotolerance protein BatD	- none -	 	 
fig|991.25.peg.121	CDS	NZ_MUGY01000001	137373	136585	-3	-	789	Aerotolerance protein BatC	- none -	 	 
fig|991.25.peg.122	CDS	NZ_MUGY01000001	138456	137422	-3	-	1035	Aerotolerance protein BatB	- none -	 	 
fig|991.25.peg.123	CDS	NZ_MUGY01000001	139532	138531	-2	-	1002	Aerotolerance protein BatA	- none -	 	 
fig|991.25.peg.124	CDS	NZ_MUGY01000001	141163	139532	-1	-	1632	FIG00936810: hypothetical protein	- none -	 	 
