Feature ID	Type	Contig	Start	Stop	Frame	Strand	Length (bp)	Function	Subsystem	NCBI GI	locus
fig|1699134.5.peg.1	CDS	NZ_LHVT01000001	196	2664	1	+	2469	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10) / Alanine racemase (EC 5.1.1.1)	Alanine biosynthesis; <br>Pyruvate Alanine Serine Interconversions	 	 
fig|1699134.5.peg.2	CDS	NZ_LHVT01000001	2733	3113	3	+	381	Large-conductance mechanosensitive channel	Potassium homeostasis	 	 
fig|1699134.5.peg.3	CDS	NZ_LHVT01000001	3215	3922	2	+	708	hypothetical protein	- none -	 	 
fig|1699134.5.peg.4	CDS	NZ_LHVT01000001	4045	5034	1	+	990	Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)	Lysine Biosynthesis DAP Pathway; <br>Lysine Biosynthesis DAP Pathway, GJO scratch; <br>Threonine and Homoserine Biosynthesis	 	 
fig|1699134.5.peg.5	CDS	NZ_LHVT01000001	5534	5217	-2	-	318	Ferredoxin, 2Fe-2S	Alanine biosynthesis; <br>Iron-sulfur cluster assembly; <br>Soluble cytochromes and functionally related electron carriers	 	 
fig|1699134.5.peg.6	CDS	NZ_LHVT01000001	6048	5593	-3	-	456	hypothetical protein	- none -	 	 
fig|1699134.5.peg.7	CDS	NZ_LHVT01000001	6529	6290	-1	-	240	NifU-like domain protein	- none -	 	 
fig|1699134.5.peg.8	CDS	NZ_LHVT01000001	7735	6605	-1	-	1131	Septum site-determining protein MinD	Bacterial cell division cluster; <br>Septum site-determining cluster Min	 	 
fig|1699134.5.peg.9	CDS	NZ_LHVT01000001	8153	9772	2	+	1620	hypothetical protein	- none -	 	 
fig|1699134.5.peg.10	CDS	NZ_LHVT01000001	12263	9837	-2	-	2427	Acidobacterial duplicated orphan permease (function unknown)	- none -	 	 
fig|1699134.5.peg.11	CDS	NZ_LHVT01000001	13107	12400	-3	-	708	ABC transporter, ATP-binding protein	- none -	 	 
fig|1699134.5.peg.12	CDS	NZ_LHVT01000001	14533	13289	-1	-	1245	RND efflux system, membrane fusion protein	- none -	 	 
fig|1699134.5.peg.13	CDS	NZ_LHVT01000001	14692	16047	1	+	1356	Two-component transcriptional response regulator, LuxR family	- none -	 	 
fig|1699134.5.peg.14	CDS	NZ_LHVT01000001	16255	17580	1	+	1326	Two-component system sensor histidine kinase	- none -	 	 
fig|1699134.5.peg.15	CDS	NZ_LHVT01000001	18128	17802	-2	-	327	Methylated-DNA-[protein]-cysteine S-methyltransferase	- none -	 	 
fig|1699134.5.peg.16	CDS	NZ_LHVT01000001	18969	18331	-3	-	639	hypothetical protein	- none -	 	 
fig|1699134.5.peg.17	CDS	NZ_LHVT01000001	19687	19010	-1	-	678	tRNA (guanine(46)-N(7))-methyltransferase (EC 2.1.1.33)	- none -	 	 
fig|1699134.5.peg.18	CDS	NZ_LHVT01000001	21903	20521	-3	-	1383	Ammonium transporter	Ammonia assimilation	 	 
fig|1699134.5.peg.19	CDS	NZ_LHVT01000001	22655	22167	-2	-	489	hypothetical protein	- none -	 	 
fig|1699134.5.peg.20	CDS	NZ_LHVT01000001	22985	23668	2	+	684	hypothetical protein	- none -	 	 
fig|1699134.5.peg.21	CDS	NZ_LHVT01000001	24140	23826	-2	-	315	Ribosome-associated inhibitor A	- none -	 	 
fig|1699134.5.peg.22	CDS	NZ_LHVT01000001	24387	24719	3	+	333	hypothetical protein	- none -	 	 
fig|1699134.5.peg.23	CDS	NZ_LHVT01000001	25175	24753	-2	-	423	Very-short-patch mismatch repair endonuclease (G-T specific)	DNA repair, bacterial	 	 
fig|1699134.5.peg.24	CDS	NZ_LHVT01000001	26412	25195	-3	-	1218	Type II restriction endonuclease	- none -	 	 
fig|1699134.5.peg.25	CDS	NZ_LHVT01000001	27688	26450	-1	-	1239	DNA-cytosine methyltransferase (EC 2.1.1.37)	DNA repair, bacterial	 	 
fig|1699134.5.peg.26	CDS	NZ_LHVT01000001	27906	27685	-3	-	222	hypothetical protein	- none -	 	 
fig|1699134.5.peg.27	CDS	NZ_LHVT01000001	30567	28105	-3	-	2463	Outer membrane assembly protein	- none -	 	 
fig|1699134.5.peg.28	CDS	NZ_LHVT01000001	30809	31126	2	+	318	Thioredoxin	- none -	 	 
fig|1699134.5.peg.29	CDS	NZ_LHVT01000001	33401	31326	-2	-	2076	Two-component system sensor histidine kinase	- none -	 	 
fig|1699134.5.peg.30	CDS	NZ_LHVT01000001	34106	33402	-2	-	705	Two-component transcriptional response regulator, LuxR family	- none -	 	 
fig|1699134.5.peg.31	CDS	NZ_LHVT01000001	34310	34855	2	+	546	hypothetical protein	- none -	 	 
fig|1699134.5.peg.32	CDS	NZ_LHVT01000001	34904	35491	2	+	588	hypothetical protein	- none -	 	 
fig|1699134.5.peg.33	CDS	NZ_LHVT01000001	35756	38329	2	+	2574	Membrane alanine aminopeptidase N (EC 3.4.11.2)	Aminopeptidases (EC 3.4.11.-)	 	 
fig|1699134.5.peg.34	CDS	NZ_LHVT01000001	38326	39252	1	+	927	hypothetical protein	- none -	 	 
fig|1699134.5.peg.35	CDS	NZ_LHVT01000001	40112	40357	2	+	246	hypothetical protein	- none -	 	 
fig|1699134.5.peg.36	CDS	NZ_LHVT01000001	40754	41575	2	+	822	Transcriptional regulator, AraC family	- none -	 	 
fig|1699134.5.peg.37	CDS	NZ_LHVT01000001	41945	43303	2	+	1359	Outer membrane component of tripartite multidrug resistance system	- none -	 	 
fig|1699134.5.peg.38	CDS	NZ_LHVT01000001	43518	44567	3	+	1050	Membrane fusion component of MSF-type tripartite multidrug efflux system	- none -	 	 
fig|1699134.5.peg.39	CDS	NZ_LHVT01000001	44569	46152	1	+	1584	Inner-membrane proton/drug antiporter (MSF type) of tripartite multidrug efflux system	- none -	 	 
fig|1699134.5.peg.40	CDS	NZ_LHVT01000001	46154	46345	2	+	192	hypothetical protein	- none -	 	 
fig|1699134.5.peg.41	CDS	NZ_LHVT01000001	46482	47147	3	+	666	Beta-phosphoglucomutase (EC 5.4.2.6)	Trehalose Uptake and Utilization	 	 
fig|1699134.5.peg.42	CDS	NZ_LHVT01000001	48208	47417	-1	-	792	hypothetical protein	- none -	 	 
fig|1699134.5.peg.43	CDS	NZ_LHVT01000001	48879	48640	-3	-	240	hypothetical protein	- none -	 	 
fig|1699134.5.peg.44	CDS	NZ_LHVT01000001	49402	48929	-1	-	474	hypothetical protein	- none -	 	 
fig|1699134.5.peg.45	CDS	NZ_LHVT01000001	49538	49771	2	+	234	hypothetical protein	- none -	 	 
fig|1699134.5.peg.46	CDS	NZ_LHVT01000001	49917	50546	3	+	630	hypothetical protein	- none -	 	 
fig|1699134.5.peg.47	CDS	NZ_LHVT01000001	50533	50994	1	+	462	hypothetical protein	- none -	 	 
fig|1699134.5.peg.48	CDS	NZ_LHVT01000001	51897	51445	-3	-	453	hypothetical protein	- none -	 	 
fig|1699134.5.peg.49	CDS	NZ_LHVT01000001	52191	53579	3	+	1389	N-acyl-L-amino acid amidohydrolase (EC 3.5.1.14)	- none -	 	 
fig|1699134.5.peg.50	CDS	NZ_LHVT01000001	53903	53781	-2	-	123	hypothetical protein	- none -	 	 
fig|1699134.5.peg.51	CDS	NZ_LHVT01000001	54027	54398	3	+	372	Transcriptional regulator, MecI family	- none -	 	 
fig|1699134.5.peg.52	CDS	NZ_LHVT01000001	54395	55810	2	+	1416	N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)	Murein Hydrolases; <br>Recycling of Peptidoglycan Amino Acids	 	 
fig|1699134.5.peg.53	CDS	NZ_LHVT01000001	57325	55937	-1	-	1389	Saccharopine dehydrogenase [NADP, L-glutamate-forming] (EC 1.5.1.10)	- none -	 	 
fig|1699134.5.peg.54	CDS	NZ_LHVT01000001	57488	57874	2	+	387	FIG00018398: hypothetical regulator	- none -	 	 
