Feature ID	Type	Contig	Start	Stop	Frame	Strand	Length (bp)	Function	Subsystem	NCBI GI	locus
fig|1736351.5.peg.1	CDS	NZ_LMPW01000001	2	2866	2	+	2865	internalin, putative	Listeria surface proteins: Internalin-like proteins	 	 
fig|1736351.5.peg.2	CDS	NZ_LMPW01000001	2918	3829	2	+	912	hypothetical protein	- none -	 	 
fig|1736351.5.peg.3	CDS	NZ_LMPW01000001	3841	5772	1	+	1932	hypothetical protein	- none -	 	 
fig|1736351.5.peg.4	CDS	NZ_LMPW01000001	6300	5881	-3	-	420	Peroxiredoxin OsmC (EC 1.11.1.15)	- none -	 	 
fig|1736351.5.peg.5	CDS	NZ_LMPW01000001	7365	6337	-3	-	1029	Lipase	- none -	 	 
fig|1736351.5.peg.6	CDS	NZ_LMPW01000001	7478	8449	2	+	972	Hydrogen peroxide-inducible genes activator => OxyR	- none -	 	 
fig|1736351.5.peg.7	CDS	NZ_LMPW01000001	8990	8592	-2	-	399	hypothetical protein	- none -	 	 
fig|1736351.5.peg.8	CDS	NZ_LMPW01000001	9363	9148	-3	-	216	hypothetical protein	- none -	 	 
fig|1736351.5.peg.9	CDS	NZ_LMPW01000001	14759	9396	-2	-	5364	hypothetical protein	- none -	 	 
fig|1736351.5.peg.10	CDS	NZ_LMPW01000001	16539	14872	-3	-	1668	hypothetical protein	- none -	 	 
fig|1736351.5.peg.11	CDS	NZ_LMPW01000001	18137	16536	-2	-	1602	hypothetical protein	- none -	 	 
fig|1736351.5.peg.12	CDS	NZ_LMPW01000001	21632	18312	-2	-	3321	hypothetical protein	- none -	 	 
fig|1736351.5.peg.13	CDS	NZ_LMPW01000001	22672	22478	-1	-	195	hypothetical protein	- none -	 	 
fig|1736351.5.peg.14	CDS	NZ_LMPW01000001	25435	22685	-1	-	2751	hypothetical protein	- none -	 	 
fig|1736351.5.peg.15	CDS	NZ_LMPW01000001	26554	25751	-1	-	804	Transcriptional regulator, AraC family	- none -	 	 
fig|1736351.5.peg.16	CDS	NZ_LMPW01000001	28043	26628	-2	-	1416	Aldehyde dehydrogenase (EC 1.2.1.3)	Methylglyoxal Metabolism; <br>Methylglyoxal Metabolism; <br>Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate	 	 
fig|1736351.5.peg.17	CDS	NZ_LMPW01000001	28239	29060	3	+	822	Oxidoreductase, short-chain dehydrogenase/reductase family	- none -	 	 
fig|1736351.5.peg.18	CDS	NZ_LMPW01000001	29138	30034	2	+	897	Transcriptional regulator, AraC family	- none -	 	 
fig|1736351.5.peg.19	CDS	NZ_LMPW01000001	30135	31502	3	+	1368	Coproporphyrinogen III oxidase, oxygen-independent (EC 1.3.99.22)	Heme and Siroheme Biosynthesis	 	 
fig|1736351.5.peg.20	CDS	NZ_LMPW01000001	32446	31745	-1	-	702	Heavy-metal-associated domain (N-terminus) and membrane-bounded cytochrome biogenesis cycZ-like domain, possible membrane copper tolerance protein	- none -	 	 
fig|1736351.5.peg.21	CDS	NZ_LMPW01000001	32905	32453	-1	-	453	cytochrome cbb3 oxidase maturation protein CcoH	- none -	 	 
fig|1736351.5.peg.22	CDS	NZ_LMPW01000001	34375	32957	-1	-	1419	Type cbb3 cytochrome oxidase biogenesis protein CcoG, involved in Cu oxidation	Biogenesis of cbb3-type cytochrome c oxidases	 	 
fig|1736351.5.peg.23	CDS	NZ_LMPW01000001	35334	34402	-3	-	933	Cytochrome c oxidase (cbb3-type) subunit CcoP (EC 1.9.3.1)	- none -	 	 
fig|1736351.5.peg.24	CDS	NZ_LMPW01000001	35534	35331	-2	-	204	Cytochrome c oxidase (cbb3-type) subunit CcoQ (EC 1.9.3.1)	- none -	 	 
fig|1736351.5.peg.25	CDS	NZ_LMPW01000001	37731	35539	-3	-	2193	Cytochrome c oxidase (cbb3-type) subunit CcoN (EC 1.9.3.1) / Cytochrome c oxidase (cbb3-type) subunit CcoO (EC 1.9.3.1)	- none -	 	 
fig|1736351.5.peg.26	CDS	NZ_LMPW01000001	37967	37764	-2	-	204	Type cbb3 cytochrome oxidase biogenesis protein CcoS, involved in heme b insertion	Biogenesis of cbb3-type cytochrome c oxidases	 	 
fig|1736351.5.peg.27	CDS	NZ_LMPW01000001	40418	38028	-2	-	2391	Type cbb3 cytochrome oxidase biogenesis protein CcoI; Copper-translocating P-type ATPase (EC 3.6.3.4)	Biogenesis of cbb3-type cytochrome c oxidases; <br>Copper Transport System; <br>Copper homeostasis	 	 
fig|1736351.5.peg.28	CDS	NZ_LMPW01000001	40524	41204	3	+	681	Transcriptional regulator, Crp/Fnr family	Oxidative stress	 	 
fig|1736351.5.peg.29	CDS	NZ_LMPW01000001	41526	42917	3	+	1392	hypothetical protein	- none -	 	 
fig|1736351.5.peg.30	CDS	NZ_LMPW01000001	42919	44061	1	+	1143	hypothetical protein	- none -	 	 
fig|1736351.5.peg.31	CDS	NZ_LMPW01000001	44095	50673	1	+	6579	hypothetical protein	- none -	 	 
fig|1736351.5.peg.32	CDS	NZ_LMPW01000001	50675	51244	2	+	570	hypothetical protein	- none -	 	 
fig|1736351.5.peg.33	CDS	NZ_LMPW01000001	51328	51732	1	+	405	hypothetical protein	- none -	 	 
fig|1736351.5.peg.34	CDS	NZ_LMPW01000001	51719	51934	2	+	216	hypothetical protein	- none -	 	 
fig|1736351.5.peg.35	CDS	NZ_LMPW01000001	52059	52655	3	+	597	hypothetical protein	- none -	 	 
fig|1736351.5.peg.36	CDS	NZ_LMPW01000001	52659	53351	3	+	693	hypothetical protein	- none -	 	 
fig|1736351.5.peg.37	CDS	NZ_LMPW01000001	53436	54032	3	+	597	hypothetical protein	- none -	 	 
fig|1736351.5.peg.38	CDS	NZ_LMPW01000001	54098	54520	2	+	423	hypothetical protein	- none -	 	 
fig|1736351.5.peg.39	CDS	NZ_LMPW01000001	54528	55235	3	+	708	hypothetical protein	- none -	 	 
fig|1736351.5.peg.40	CDS	NZ_LMPW01000001	55302	55472	3	+	171	hypothetical protein	- none -	 	 
fig|1736351.5.peg.41	CDS	NZ_LMPW01000001	55782	58610	3	+	2829	hypothetical protein	- none -	 	 
fig|1736351.5.peg.42	CDS	NZ_LMPW01000001	61008	58678	-3	-	2331	hypothetical protein	- none -	 	 
fig|1736351.5.peg.43	CDS	NZ_LMPW01000001	61249	61677	1	+	429	Putative periplasmic protein	- none -	 	 
fig|1736351.5.peg.44	CDS	NZ_LMPW01000001	62370	62032	-3	-	339	hypothetical protein	- none -	 	 
fig|1736351.5.peg.45	CDS	NZ_LMPW01000001	62661	63251	3	+	591	RNA polymerase ECF-type sigma factor	- none -	 	 
fig|1736351.5.peg.46	CDS	NZ_LMPW01000001	63232	63630	1	+	399	hypothetical protein	- none -	 	 
fig|1736351.5.peg.47	CDS	NZ_LMPW01000001	63804	64019	3	+	216	hypothetical protein	- none -	 	 
fig|1736351.5.peg.48	CDS	NZ_LMPW01000001	65857	64025	-1	-	1833	hypothetical protein	- none -	 	 
fig|1736351.5.peg.49	CDS	NZ_LMPW01000001	65936	66076	2	+	141	hypothetical protein	- none -	 	 
fig|1736351.5.peg.50	CDS	NZ_LMPW01000001	66193	67512	1	+	1320	Beta-lactamase class C-like and penicillin binding proteins (PBPs) superfamily	- none -	 	 
fig|1736351.5.peg.51	CDS	NZ_LMPW01000001	68584	67814	-1	-	771	hypothetical protein	- none -	 	 
