Function,Subsystem,NCBI GI,locus,System,Category
Phenazine biosynthesis protein PhzF like,- none -, , ,none,none
MBL-fold metallo-hydrolase superfamily,- none -, , ,none,none
Seryl-tRNA synthetase (EC 6.1.1.11),"Glycine and Serine Utilization; <br>tRNA aminoacylation, Ser", , ,"Alanine, serine, and glycine; Protein biosynthesis",Amino Acids and Derivatives; Protein Metabolism
Secreted protein containing tetratricopeptide re peats,- none -, , ,none,none
SSU rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase (EC 2.1.1.182),ECSIG4-SIG7; <br>RNA methylation, , ,RNA processing and modification,RNA Metabolism
"Mg/Co/Ni transporter MgtE, CBS domain-containing",none, , ,Membrane Transport - no subcategory,Membrane Transport
Pyrroline-5-carboxylate reductase (EC 1.5.1.2),Proline Synthesis, , ,Proline and 4-hydroxyproline,Amino Acids and Derivatives
Na+/H+ antiporter NhaA type,"NhaA, NhaD and Sodium-dependent phosphate transporters; none", , ,Uni- Sym- and Antiporters,Membrane Transport
D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95),Glycine and Serine Utilization; <br>Pyridoxin (Vitamin B6) Biosynthesis; <br>Serine Biosynthesis, , ,"Alanine, serine, and glycine; Pyridoxine","Amino Acids and Derivatives; Cofactors, Vitamins, Prosthetic Groups, Pigments"
Tsr1131 protein,- none -, , ,none,none
FIG00473056: hypothetical protein,- none -, , ,none,none
Putative hemolysin,- none -, , ,none,none
Exodeoxyribonuclease III (EC 3.1.11.2),"DNA repair, bacterial", , ,DNA repair,DNA Metabolism
OmpA domain protein,- none -, , ,none,none
"Tas protein, an NADP(H)-dependent aldo-keto reductase",- none -, , ,none,none
FIG00652135: hypothetical protein,- none -, , ,none,none
Response regulator,Two-component regulatory system, , ,Regulation and Cell signaling - no subcategory,Regulation and Cell signaling
Transglycosylase,- none -, , ,none,none
DNA repair protein RadA,"<br>Proteolysis in bacteria, ATP-dependent; DNA repair, bacterial; none", , ,DNA repair; Protein degradation,DNA Metabolism; Protein Metabolism
Putative esterase,- none -, , ,none,none
Aspartate 1-decarboxylase (EC 4.1.1.11),Coenzyme A Biosynthesis; <br>Coenzyme A Biosynthesis cluster; <br>Folate biosynthesis cluster, , ,Coenzyme A; Folate and pterines,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
