Feature ID	Type	Contig	Start	Stop	Frame	Strand	Length (bp)	Function	Subsystem	NCBI GI	locus
fig|1121891.12.peg.1	CDS	NZ_AUGN01000001	3229	2	-1	-	3228	hypothetical protein	- none -	 	 
fig|1121891.12.peg.2	CDS	NZ_AUGN01000001	12054	3265	-3	-	8790	hypothetical protein	- none -	 	 
fig|1121891.12.peg.3	CDS	NZ_AUGN01000001	12408	12884	3	+	477	Phosphoglycerate/bisphosphoglycerate mutase	- none -	 	 
fig|1121891.12.peg.4	CDS	NZ_AUGN01000001	12887	14998	2	+	2112	Polyphosphate kinase (EC 2.7.4.1)	Phosphate metabolism; <br>Polyphosphate; <br>Purine conversions	 	 
fig|1121891.12.peg.5	CDS	NZ_AUGN01000001	15021	15911	3	+	891	Exopolyphosphatase (EC 3.6.1.11)	Phosphate metabolism; <br>Polyphosphate	 	 
fig|1121891.12.peg.6	CDS	NZ_AUGN01000001	17708	15912	-2	-	1797	DNA polymerase III subunits gamma and tau (EC 2.7.7.7)	DNA processing cluster	 	 
fig|1121891.12.peg.7	CDS	NZ_AUGN01000001	17816	18583	2	+	768	hypothetical protein	- none -	 	 
fig|1121891.12.peg.8	CDS	NZ_AUGN01000001	18856	18560	-1	-	297	hypothetical protein	- none -	 	 
fig|1121891.12.peg.9	CDS	NZ_AUGN01000001	19389	20057	3	+	669	Ferredoxin reductase	Anaerobic respiratory reductases	 	 
fig|1121891.12.peg.10	CDS	NZ_AUGN01000001	20642	20061	-2	-	582	16S rRNA (guanine(966)-N(2))-methyltransferase (EC 2.1.1.171)	CBSS-226186.1.peg.3978; <br>CBSS-266117.6.peg.1260; <br>CBSS-269801.1.peg.1715; <br>RNA methylation	 	 
fig|1121891.12.peg.11	CDS	NZ_AUGN01000001	21388	20639	-1	-	750	FIG032012: hypothetical protein	CBSS-226186.1.peg.3978	 	 
fig|1121891.12.peg.12	CDS	NZ_AUGN01000001	22196	21435	-2	-	762	hypothetical protein	- none -	 	 
fig|1121891.12.peg.13	CDS	NZ_AUGN01000001	22320	23747	3	+	1428	RecD-like DNA helicase Atu2026	- none -	 	 
fig|1121891.12.peg.14	CDS	NZ_AUGN01000001	23795	24358	2	+	564	FIG00652041: hypothetical protein	- none -	 	 
fig|1121891.12.peg.15	CDS	NZ_AUGN01000001	24417	25142	3	+	726	3-deoxy-manno-octulosonate cytidylyltransferase (EC 2.7.7.38)	- none -	 	 
fig|1121891.12.peg.16	CDS	NZ_AUGN01000001	25694	25236	-2	-	459	hypothetical protein	- none -	 	 
