Feature ID	Type	Contig	Start	Stop	Frame	Strand	Length (bp)	Function	Subsystem	NCBI GI	locus
fig|459526.20.peg.1	CDS	NZ_CP016907	690	259	-3	-	432	Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)	- none -	 	 
fig|459526.20.peg.2	CDS	NZ_CP016907	2037	781	-3	-	1257	beta-glucosidase (EC 3.2.1.21)	- none -	 	 
fig|459526.20.peg.3	CDS	NZ_CP016907	2396	2040	-2	-	357	beta-glucosidase (EC 3.2.1.21)	- none -	 	 
fig|459526.20.peg.4	CDS	NZ_CP016907	2679	2413	-3	-	267	beta-glucosidase (EC 3.2.1.21)	- none -	 	 
fig|459526.20.peg.5	CDS	NZ_CP016907	3001	2633	-1	-	369	beta-glucosidase (EC 3.2.1.21)	- none -	 	 
fig|459526.20.peg.6	CDS	NZ_CP016907	3335	3087	-2	-	249	hypothetical protein	- none -	 	 
fig|459526.20.peg.7	CDS	NZ_CP016907	3799	3338	-1	-	462	hypothetical protein	- none -	 	 
fig|459526.20.peg.8	CDS	NZ_CP016907	4054	3806	-1	-	249	hypothetical protein	- none -	 	 
fig|459526.20.peg.9	CDS	NZ_CP016907	4488	4375	-3	-	114	hypothetical protein	- none -	 	 
fig|459526.20.peg.10	CDS	NZ_CP016907	4703	4512	-2	-	192	hypothetical protein	- none -	 	 
fig|459526.20.peg.11	CDS	NZ_CP016907	5177	4713	-2	-	465	hypothetical protein	- none -	 	 
fig|459526.20.peg.12	CDS	NZ_CP016907	5928	5251	-3	-	678	Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family	- none -	 	 
fig|459526.20.peg.13	CDS	NZ_CP016907	6704	6021	-2	-	684	Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family	- none -	 	 
fig|459526.20.peg.14	CDS	NZ_CP016907	6981	6709	-3	-	273	Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family	- none -	 	 
fig|459526.20.peg.15	CDS	NZ_CP016907	9746	7041	-2	-	2706	Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family	- none -	 	 
fig|459526.20.peg.16	CDS	NZ_CP016907	12735	9991	-3	-	2745	hypothetical protein	- none -	 	 
fig|459526.20.peg.17	CDS	NZ_CP016907	14021	12837	-2	-	1185	Acetate kinase (EC 2.7.2.1)	Fermentations: Lactate; <br>Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate	 	 
fig|459526.20.peg.18	CDS	NZ_CP016907	16209	14116	-3	-	2094	BioD-like N-terminal domain / Phosphate acetyltransferase (EC 2.3.1.8)	Fermentations: Lactate; <br>Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate	 	 
fig|459526.20.peg.19	CDS	NZ_CP016907	17347	16274	-1	-	1074	Magnesium and cobalt transport protein CorA	Magnesium transport	 	 
fig|459526.20.peg.20	CDS	NZ_CP016907	19420	17534	-1	-	1887	Chaperone protein DnaK	Protein chaperones	 	 
fig|459526.20.peg.21	CDS	NZ_CP016907	19786	21054	1	+	1269	Na+/H+ antiporter	- none -	 	 
fig|459526.20.peg.22	CDS	NZ_CP016907	21103	21570	1	+	468	hypothetical protein	- none -	 	 
fig|459526.20.peg.23	CDS	NZ_CP016907	21625	22086	1	+	462	Ligand-binding SRPBCC domain protein family	- none -	 	 
fig|459526.20.peg.24	CDS	NZ_CP016907	22162	22635	1	+	474	hypothetical protein	- none -	 	 
fig|459526.20.peg.25	CDS	NZ_CP016907	22763	23200	2	+	438	hypothetical protein	- none -	 	 
fig|459526.20.peg.26	CDS	NZ_CP016907	23988	23296	-3	-	693	hypothetical protein	- none -	 	 
fig|459526.20.peg.27	CDS	NZ_CP016907	24270	25259	3	+	990	Hydrolase, alpha/beta fold family	- none -	 	 
fig|459526.20.peg.28	CDS	NZ_CP016907	25382	25771	2	+	390	Phage protein p78	- none -	 	 
fig|459526.20.peg.29	CDS	NZ_CP016907	25786	26643	1	+	858	Cytochrome c551/c552	Soluble cytochromes and functionally related electron carriers	 	 
fig|459526.20.peg.30	CDS	NZ_CP016907	26646	27491	3	+	846	Thiosulfate sulfurtransferase, rhodanese (EC 2.8.1.1)	- none -	 	 
