Feature ID	Type	Contig	Start	Stop	Frame	Strand	Length (bp)	Function	Subsystem	NCBI GI	locus
fig|2730889.4.peg.1	CDS	NZ_CAGKLC010000001	38	2869	2	+	2832	TonB-dependent receptor	Ton and Tol transport systems	 	 
fig|2730889.4.peg.2	CDS	NZ_CAGKLC010000001	2955	4481	3	+	1527	hypothetical protein	- none -	 	 
fig|2730889.4.peg.3	CDS	NZ_CAGKLC010000001	4707	4579	-3	-	129	hypothetical protein	- none -	 	 
fig|2730889.4.peg.4	CDS	NZ_CAGKLC010000001	4713	6224	3	+	1512	ATP synthase beta chain (EC 3.6.3.14)	F0F1-type ATP synthase	 	 
fig|2730889.4.peg.5	CDS	NZ_CAGKLC010000001	6295	6576	1	+	282	ATP synthase epsilon chain (EC 3.6.3.14)	F0F1-type ATP synthase	 	 
fig|2730889.4.peg.6	CDS	NZ_CAGKLC010000001	6648	6764	3	+	117	hypothetical protein	- none -	 	 
fig|2730889.4.peg.7	CDS	NZ_CAGKLC010000001	6761	7897	2	+	1137	8-amino-7-oxononanoate synthase (EC 2.3.1.47)	Biotin biosynthesis; <br>Biotin biosynthesis Experimental	 	 
fig|2730889.4.peg.8	CDS	NZ_CAGKLC010000001	8108	8296	2	+	189	hypothetical protein	- none -	 	 
fig|2730889.4.peg.9	CDS	NZ_CAGKLC010000001	8370	9233	3	+	864	hypothetical protein	- none -	 	 
fig|2730889.4.peg.10	CDS	NZ_CAGKLC010000001	9241	9744	1	+	504	RNA polymerase ECF-type sigma factor	- none -	 	 
fig|2730889.4.peg.11	CDS	NZ_CAGKLC010000001	9734	10348	2	+	615	hypothetical protein	- none -	 	 
fig|2730889.4.peg.12	CDS	NZ_CAGKLC010000001	10493	11110	2	+	618	Dethiobiotin synthase BioD (EC 6.3.3.3)	- none -	 	 
fig|2730889.4.peg.13	CDS	NZ_CAGKLC010000001	11211	12482	3	+	1272	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62)	Biotin biosynthesis; <br>Biotin biosynthesis Experimental	 	 
fig|2730889.4.peg.14	CDS	NZ_CAGKLC010000001	12505	13674	1	+	1170	3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.179)	- none -	 	 
