Feature ID	Type	Contig	Start	Stop	Frame	Strand	Length (bp)	Function	Subsystem	NCBI GI	locus
fig|2665645.4.peg.1	CDS	CP045928	3	80	3	+	78	hypothetical protein	- none -	 	 
fig|2665645.4.peg.2	CDS	CP045928	188	592	2	+	405	4-hydroxybenzoyl-CoA thioesterase family active site	Ton and Tol transport systems	 	 
fig|2665645.4.peg.3	CDS	CP045928	1256	624	-2	-	633	FIG000605: protein co-occurring with transport systems (COG1739)	- none -	 	 
fig|2665645.4.peg.4	CDS	CP045928	1483	1370	-1	-	114	hypothetical protein	- none -	 	 
fig|2665645.4.peg.5	CDS	CP045928	2093	1491	-2	-	603	Haloacid dehalogenase-like hydrolase	- none -	 	 
fig|2665645.4.peg.6	CDS	CP045928	3096	2086	-3	-	1011	Diaminohydroxyphosphoribosylaminopyrimidine deaminase (EC 3.5.4.26) / 5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193)	Riboflavin, FMN and FAD metabolism; <br>Riboflavin, FMN and FAD metabolism; <br>Riboflavin synthesis cluster; <br>Riboflavin synthesis cluster	 	 
fig|2665645.4.peg.7	CDS	CP045928	3242	3727	2	+	486	Acetyltransferase	- none -	 	 
fig|2665645.4.peg.8	CDS	CP045928	3732	4541	3	+	810	hypothetical protein	- none -	 	 
fig|2665645.4.peg.9	CDS	CP045928	4623	5489	3	+	867	Peptide chain release factor N(5)-glutamine methyltransferase (EC 2.1.1.297)	- none -	 	 
fig|2665645.4.peg.10	CDS	CP045928	6922	5678	-1	-	1245	ABC-type antimicrobial peptide transport system, permease component	- none -	 	 
fig|2665645.4.peg.11	CDS	CP045928	7125	8552	3	+	1428	Histidyl-tRNA synthetase (EC 6.1.1.21)	tRNA aminoacylation, His	 	 
fig|2665645.4.peg.12	CDS	CP045928	9434	9976	2	+	543	Heat shock protein GrpE	Protein chaperones	 	 
fig|2665645.4.peg.13	CDS	CP045928	10055	11167	2	+	1113	Chaperone protein DnaJ	Protein chaperones	 	 
fig|2665645.4.peg.14	CDS	CP045928	11331	12260	3	+	930	Efflux ABC transporter, ATP-binding protein	- none -	 	 
fig|2665645.4.peg.15	CDS	CP045928	12339	13655	3	+	1317	ABC transporter, permease protein	- none -	 	 
fig|2665645.4.peg.16	CDS	CP045928	13866	15029	3	+	1164	Two-component transcriptional response regulator, AtoC family	- none -	 	 
fig|2665645.4.peg.17	CDS	CP045928	15132	15797	3	+	666	ATP-dependent RNA helicase, DEAD box family	- none -	 	 
fig|2665645.4.peg.18	CDS	CP045928	15867	16682	3	+	816	Bem46 protein	- none -	 	 
fig|2665645.4.peg.19	CDS	CP045928	16711	16929	1	+	219	hypothetical protein	- none -	 	 
fig|2665645.4.peg.20	CDS	CP045928	16995	17798	3	+	804	Hydrolase, haloacid dehalogenase-like family	- none -	 	 
fig|2665645.4.peg.21	CDS	CP045928	17811	18338	3	+	528	Acetyltransferase, GNAT family	- none -	 	 
fig|2665645.4.peg.22	CDS	CP045928	18959	18441	-2	-	519	hypothetical protein	- none -	 	 
fig|2665645.4.peg.23	CDS	CP045928	19464	20798	3	+	1335	tRNA t(6)A37-methylthiotransferase (EC 2.8.4.5)	- none -	 	 
fig|2665645.4.peg.24	CDS	CP045928	21619	21002	-1	-	618	hypothetical protein	- none -	 	 
fig|2665645.4.peg.25	CDS	CP045928	22132	21623	-1	-	510	hypothetical protein	- none -	 	 
fig|2665645.4.peg.26	CDS	CP045928	22958	22242	-2	-	717	Oxidoreductase, short-chain dehydrogenase/reductase family	- none -	 	 
fig|2665645.4.peg.27	CDS	CP045928	23660	23073	-2	-	588	hypothetical protein	- none -	 	 
fig|2665645.4.peg.28	CDS	CP045928	24156	23791	-3	-	366	Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family	- none -	 	 
fig|2665645.4.peg.29	CDS	CP045928	25190	24249	-2	-	942	Putative outer membrane protein, probably involved in nutrient binding	- none -	 	 
fig|2665645.4.peg.30	CDS	CP045928	25693	25193	-1	-	501	RNA polymerase ECF-type sigma factor	- none -	 	 
fig|2665645.4.peg.31	CDS	CP045928	26523	26005	-3	-	519	hypothetical protein	- none -	 	 
fig|2665645.4.peg.32	CDS	CP045928	27365	26529	-2	-	837	hypothetical protein	- none -	 	 
fig|2665645.4.peg.33	CDS	CP045928	28114	27404	-1	-	711	hypothetical protein	- none -	 	 
fig|2665645.4.peg.34	CDS	CP045928	28336	29217	1	+	882	UDP-galactose-lipid carrier transferase (EC 2.-.-.-)	- none -	 	 
fig|2665645.4.peg.35	CDS	CP045928	29412	30869	3	+	1458	SclB protein	- none -	 	 
