Function,Subsystem,NCBI GI,locus,System,Category
Glutaminyl-tRNA synthetase (EC 6.1.1.18),"tRNA aminoacylation, Glu and Gln", , ,Protein biosynthesis,Protein Metabolism
Dihydroneopterin aldolase (EC 4.1.2.25),Folate Biosynthesis; <br>Folate biosynthesis cluster, , ,Folate and pterines,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
3&#39;-to-5&#39; exoribonuclease RNase R,"RNA processing and degradation, bacterial", , ,RNA processing and modification,RNA Metabolism
Ribose-5-phosphate isomerase B (EC 5.3.1.6),- none -, , ,none,none
Putative inner membrane protein,- none -, , ,none,none
Transcription accessory protein (S1 RNA-binding domain),Transcription factors bacterial, , ,Transcription,RNA Metabolism
Chitosanase,- none -, , ,none,none
Twin-arginine translocation protein TatA,Cluster-based Subsystem Grouping Hypotheticals - perhaps Proteosome Related; <br>Twin-arginine translocation system, , ,Protein translocation across cytoplasmic membrane,Membrane Transport
Lipoprotein NlpD precursor,- none -, , ,none,none
putative auxin-regulated protein,- none -, , ,none,none
UDP-glucuronate decarboxylase (EC 4.1.1.35),- none -, , ,none,none
Putative glycosyl transferase,- none -, , ,none,none
UDP-N-acetylglucosamine 2-epimerase (EC 5.1.3.14),CMP-N-acetylneuraminate Biosynthesis, , ,Capsular and extracellular polysacchrides,Cell Wall and Capsule
Coenzyme F390 synthetase,- none -, , ,none,none
Phosphoribosylamine--glycine ligase (EC 6.3.4.13),De Novo Purine Biosynthesis, , ,Purines,Nucleosides and Nucleotides
Uncharacterized integral membrane protein,- none -, , ,none,none
Uracil phosphoribosyltransferase (EC 2.4.2.9),pyrimidine conversions, , ,Pyrimidines,Nucleosides and Nucleotides
ADP-heptose:LPS heptosyltransferase,- none -, , ,none,none
Flavodoxin reductases (ferredoxin-NADPH reductases) family 1,Anaerobic respiratory reductases, , ,Electron accepting reactions,Respiration
ATP-binding protein,- none -, , ,none,none
TPR domain protein,- none -, , ,none,none
Polymer-forming bactofilin,- none -, , ,none,none
ATP synthase protein I,F0F1-type ATP synthase, , ,ATP synthases,Respiration
ATP synthase protein I,F0F1-type ATP synthase, , ,ATP synthases,Respiration
ATP synthase F0 sector subunit a (EC 3.6.3.14),F0F1-type ATP synthase, , ,ATP synthases,Respiration
ATP synthase F0 sector subunit c (EC 3.6.3.14),F0F1-type ATP synthase, , ,ATP synthases,Respiration
ATP synthase F0 sector subunit b (EC 3.6.3.14),F0F1-type ATP synthase, , ,ATP synthases,Respiration
ATP synthase delta chain (EC 3.6.3.14),F0F1-type ATP synthase, , ,ATP synthases,Respiration
ATP synthase alpha chain (EC 3.6.3.14),F0F1-type ATP synthase, , ,ATP synthases,Respiration
ATP synthase gamma chain (EC 3.6.3.14),F0F1-type ATP synthase, , ,ATP synthases,Respiration
Histone acetyltransferase HPA2 and related acetyltransferases,- none -, , ,none,none
Polysaccharide biosynthesis protein,Polysaccharide biosynthesis, , ,Polysaccharides,Carbohydrates
