Feature ID	Type	Contig	Start	Stop	Frame	Strand	Length (bp)	Function	Subsystem	NCBI GI	locus
fig|2692212.4.peg.1	CDS	NZ_WUMO01000001	960	541	-3	-	420	Metal-dependent hydrolase YbeY, involved in rRNA and/or ribosome maturation and assembly	CBSS-56780.10.peg.1536; <br>Glycyl-tRNA synthetase containing cluster	 	 
fig|2692212.4.peg.2	CDS	NZ_WUMO01000001	4358	957	-2	-	3402	liver stage antigen, putative	- none -	 	 
fig|2692212.4.peg.3	CDS	NZ_WUMO01000001	4521	6026	3	+	1506	Glutamyl-tRNA synthetase (EC 6.1.1.17)	Heme and Siroheme Biosynthesis; <br>tRNA aminoacylation, Glu and Gln	 	 
fig|2692212.4.peg.4	CDS	NZ_WUMO01000001	6282	7265	3	+	984	Protein QmcA (possibly involved in integral membrane quality control)	- none -	 	 
fig|2692212.4.peg.5	CDS	NZ_WUMO01000001	7539	7285	-3	-	255	hypothetical protein	- none -	 	 
fig|2692212.4.peg.6	CDS	NZ_WUMO01000001	7892	7542	-2	-	351	hypothetical protein	- none -	 	 
fig|2692212.4.peg.7	CDS	NZ_WUMO01000001	8294	7968	-2	-	327	hypothetical protein	- none -	 	 
fig|2692212.4.peg.8	CDS	NZ_WUMO01000001	8867	8388	-2	-	480	hypothetical protein	- none -	 	 
fig|2692212.4.peg.9	CDS	NZ_WUMO01000001	12199	10082	-1	-	2118	Glutaminyl-tRNA synthetase (EC 6.1.1.18)	tRNA aminoacylation, Glu and Gln	 	 
fig|2692212.4.peg.10	CDS	NZ_WUMO01000001	12307	12666	1	+	360	Dihydroneopterin aldolase (EC 4.1.2.25)	Folate Biosynthesis; <br>Folate biosynthesis cluster	 	 
fig|2692212.4.peg.11	CDS	NZ_WUMO01000001	13952	13272	-2	-	681	hypothetical protein	- none -	 	 
fig|2692212.4.peg.12	CDS	NZ_WUMO01000001	14634	13966	-3	-	669	hypothetical protein	- none -	 	 
fig|2692212.4.peg.13	CDS	NZ_WUMO01000001	16840	14657	-1	-	2184	3&#39;-to-5&#39; exoribonuclease RNase R	RNA processing and degradation, bacterial	 	 
fig|2692212.4.peg.14	CDS	NZ_WUMO01000001	16951	17184	1	+	234	hypothetical protein	- none -	 	 
fig|2692212.4.peg.15	CDS	NZ_WUMO01000001	17530	17718	1	+	189	hypothetical protein	- none -	 	 
fig|2692212.4.peg.16	CDS	NZ_WUMO01000001	17992	18423	1	+	432	Ribose-5-phosphate isomerase B (EC 5.3.1.6)	- none -	 	 
fig|2692212.4.peg.17	CDS	NZ_WUMO01000001	18832	18563	-1	-	270	FIG00653783: hypothetical protein	- none -	 	 
fig|2692212.4.peg.18	CDS	NZ_WUMO01000001	18949	21072	1	+	2124	Transcription accessory protein (S1 RNA-binding domain)	Transcription factors bacterial	 	 
fig|2692212.4.peg.19	CDS	NZ_WUMO01000001	21343	21164	-1	-	180	Twin-arginine translocation protein TatA	Cluster-based Subsystem Grouping Hypotheticals - perhaps Proteosome Related; <br>Twin-arginine translocation system	 	 
fig|2692212.4.peg.20	CDS	NZ_WUMO01000001	21558	22064	3	+	507	Lipoprotein NlpD precursor	- none -	 	 
fig|2692212.4.peg.21	CDS	NZ_WUMO01000001	22076	23563	2	+	1488	putative auxin-regulated protein	- none -	 	 
fig|2692212.4.peg.22	CDS	NZ_WUMO01000001	23633	24256	2	+	624	hypothetical protein	- none -	 	 
fig|2692212.4.peg.23	CDS	NZ_WUMO01000001	24388	26067	1	+	1680	hypothetical protein	- none -	 	 
