Feature ID	Type	Contig	Start	Stop	Frame	Strand	Length (bp)	Function	Subsystem	NCBI GI	locus
fig|376686.40.peg.1	CDS	NC_009441	96	1145	3	+	1050	Diaminohydroxyphosphoribosylaminopyrimidine deaminase (EC 3.5.4.26) / 5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193)	Riboflavin, FMN and FAD metabolism; <br>Riboflavin, FMN and FAD metabolism; <br>Riboflavin synthesis cluster; <br>Riboflavin synthesis cluster	 	 
fig|376686.40.peg.2	CDS	NC_009441	1138	1740	1	+	603	Haloacid dehalogenase-like hydrolase	- none -	 	 
fig|376686.40.peg.3	CDS	NC_009441	1918	2550	1	+	633	FIG000605: protein co-occurring with transport systems (COG1739)	- none -	 	 
fig|376686.40.peg.4	CDS	NC_009441	2986	2582	-1	-	405	4-hydroxybenzoyl-CoA thioesterase family active site	Ton and Tol transport systems	 	 
fig|376686.40.peg.5	CDS	NC_009441	3174	4601	3	+	1428	Chromosomal replication initiator protein DnaA	DNA replication cluster 1	 	 
fig|376686.40.peg.6	CDS	NC_009441	4610	5077	2	+	468	Low molecular weight protein tyrosine phosphatase (EC 3.1.3.48)	LMPTP YfkJ cluster	 	 
fig|376686.40.peg.7	CDS	NC_009441	5133	5846	3	+	714	Tetrapyrrole (Corrin-Porphyrin) methylase family protein	- none -	 	 
fig|376686.40.peg.8	CDS	NC_009441	5860	6378	1	+	519	hypothetical protein	- none -	 	 
fig|376686.40.peg.9	CDS	NC_009441	6353	7489	2	+	1137	Aspartate aminotransferase (EC 2.6.1.1) / Glutamine-dependent 2-keto-4-methylthiobutyrate transaminase	Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis; <br>Threonine and Homoserine Biosynthesis	 	 
fig|376686.40.peg.10	CDS	NC_009441	7564	8445	1	+	882	2,4-dienoyl-CoA reductase, mitochondrial precursor (EC 1.3.1.34)	- none -	 	 
fig|376686.40.peg.11	CDS	NC_009441	8709	9317	3	+	609	Uridine kinase (EC 2.7.1.48)	pyrimidine conversions	 	 
fig|376686.40.peg.12	CDS	NC_009441	9424	9756	1	+	333	Cell division protein DivIC (FtsB), stabilizes FtsL against RasP cleavage	- none -	 	 
