Feature ID	Type	Contig	Start	Stop	Frame	Strand	Length (bp)	Function	Subsystem	NCBI GI	locus
fig|1603293.19.peg.1	CDS	NZ_JYGZ01000001	87	1	-3	-	87	hypothetical protein	- none -	 	 
fig|1603293.19.peg.2	CDS	NZ_JYGZ01000001	1633	590	-1	-	1044	D-alanine-D-alanine ligase	- none -	 	 
fig|1603293.19.peg.3	CDS	NZ_JYGZ01000001	2307	1633	-3	-	675	hypothetical protein	- none -	 	 
fig|1603293.19.peg.4	CDS	NZ_JYGZ01000001	2783	2295	-2	-	489	hypothetical protein	- none -	 	 
fig|1603293.19.peg.5	CDS	NZ_JYGZ01000001	3291	2821	-3	-	471	Peptide-methionine (R)-S-oxide reductase MsrB (EC 1.8.4.12)	- none -	 	 
fig|1603293.19.peg.6	CDS	NZ_JYGZ01000001	3814	3371	-1	-	444	hypothetical protein	- none -	 	 
fig|1603293.19.peg.7	CDS	NZ_JYGZ01000001	3880	4524	1	+	645	Uncharacterized Nudix hydrolase NudL	- none -	 	 
fig|1603293.19.peg.8	CDS	NZ_JYGZ01000001	4621	5424	1	+	804	FIG00431159: hypothetical protein	- none -	 	 
fig|1603293.19.peg.9	CDS	NZ_JYGZ01000001	6326	5466	-2	-	861	hypothetical protein	- none -	 	 
fig|1603293.19.peg.10	CDS	NZ_JYGZ01000001	6964	6323	-1	-	642	hypothetical protein	- none -	 	 
fig|1603293.19.peg.11	CDS	NZ_JYGZ01000001	7462	6968	-1	-	495	RNA polymerase sigma-70 factor	CBSS-313593.3.peg.2729; <br>Transcription initiation, bacterial sigma factors	 	 
fig|1603293.19.peg.12	CDS	NZ_JYGZ01000001	7551	8882	3	+	1332	NADH dehydrogenase (EC 1.6.99.3)	Respiratory dehydrogenases 1; <br>Riboflavin synthesis cluster	 	 
fig|1603293.19.peg.13	CDS	NZ_JYGZ01000001	9200	9000	-2	-	201	hypothetical protein	- none -	 	 
fig|1603293.19.peg.14	CDS	NZ_JYGZ01000001	11163	9244	-3	-	1920	hypothetical protein	- none -	 	 
fig|1603293.19.peg.15	CDS	NZ_JYGZ01000001	13376	11217	-2	-	2160	hypothetical protein	- none -	 	 
fig|1603293.19.peg.16	CDS	NZ_JYGZ01000001	16122	13531	-3	-	2592	hypothetical protein	- none -	 	 
fig|1603293.19.peg.17	CDS	NZ_JYGZ01000001	17184	16129	-3	-	1056	hypothetical protein	- none -	 	 
fig|1603293.19.peg.18	CDS	NZ_JYGZ01000001	17285	18754	2	+	1470	Cytosol nonspecific dipeptidase (EC 3.4.13.18)	- none -	 	 
fig|1603293.19.peg.19	CDS	NZ_JYGZ01000001	19604	18846	-2	-	759	hypothetical protein	- none -	 	 
fig|1603293.19.peg.20	CDS	NZ_JYGZ01000001	19756	20826	1	+	1071	hypothetical protein	- none -	 	 
fig|1603293.19.peg.21	CDS	NZ_JYGZ01000001	20786	23101	2	+	2316	hypothetical protein	- none -	 	 
