Feature ID	Type	Contig	Start	Stop	Frame	Strand	Length (bp)	Function	Subsystem	NCBI GI	locus
fig|1114873.10.peg.1	CDS	NZ_MUHG01000001	2	91	2	+	90	hypothetical protein	- none -	 	 
fig|1114873.10.peg.2	CDS	NZ_MUHG01000001	1012	230	-1	-	783	hypothetical protein	- none -	 	 
fig|1114873.10.peg.3	CDS	NZ_MUHG01000002	4890	685	-3	-	4206	hypothetical protein	- none -	 	 
fig|1114873.10.peg.4	CDS	NZ_MUHG01000002	5050	4883	-1	-	168	hypothetical protein	- none -	 	 
fig|1114873.10.peg.5	CDS	NZ_MUHG01000002	18334	5369	-1	-	12966	hypothetical protein	- none -	 	 
fig|1114873.10.peg.6	CDS	NZ_MUHG01000002	19531	18605	-1	-	927	Epoxyqueuosine reductase (EC 1.17.99.6) QueG	- none -	 	 
fig|1114873.10.peg.7	CDS	NZ_MUHG01000002	20874	19528	-3	-	1347	Cytochrome P450 hydroxylase	- none -	 	 
fig|1114873.10.peg.8	CDS	NZ_MUHG01000002	21908	20886	-2	-	1023	Holliday junction ATP-dependent DNA helicase RuvB (EC 3.6.4.12)	- none -	 	 
fig|1114873.10.peg.9	CDS	NZ_MUHG01000002	22644	22075	-3	-	570	hypothetical protein	- none -	 	 
fig|1114873.10.peg.10	CDS	NZ_MUHG01000002	23125	22631	-1	-	495	RNA polymerase ECF-type sigma factor	- none -	 	 
fig|1114873.10.peg.11	CDS	NZ_MUHG01000002	23963	23127	-2	-	837	hypothetical protein	- none -	 	 
fig|1114873.10.peg.12	CDS	NZ_MUHG01000002	25550	24120	-2	-	1431	Alanylphosphatidylglycerol hydrolase, periplasmic	- none -	 	 
fig|1114873.10.peg.13	CDS	NZ_MUHG01000002	28211	25584	-2	-	2628	Alanylphosphatidylglycerol synthase (EC 2.3.2.11)	- none -	 	 
fig|1114873.10.peg.14	CDS	NZ_MUHG01000002	30608	28806	-2	-	1803	Alternative cytochrome c oxidase polypeptide CoxN (EC 1.9.3.1)	- none -	 	 
fig|1114873.10.peg.15	CDS	NZ_MUHG01000002	31836	30640	-3	-	1197	Alternative cytochrome c oxidase polypeptide CoxM (EC 1.9.3.1)	- none -	 	 
fig|1114873.10.peg.16	CDS	NZ_MUHG01000002	33376	31856	-1	-	1521	Putative uncharacterized protein TTHA1760	- none -	 	 
fig|1114873.10.peg.17	CDS	NZ_MUHG01000002	33949	33404	-1	-	546	hypothetical protein	- none -	 	 
fig|1114873.10.peg.18	CDS	NZ_MUHG01000002	34482	33958	-3	-	525	ABC-type Fe3+ transport system protein; Molybdenum transport protein, putative	- none -	 	 
fig|1114873.10.peg.19	CDS	NZ_MUHG01000002	35878	34475	-1	-	1404	Molybdopterin oxidoreductase	- none -	 	 
fig|1114873.10.peg.20	CDS	NZ_MUHG01000002	38971	35912	-1	-	3060	Molybdopterin oxidoreductase, iron-sulfur binding subunit (EC 1.2.7.-)	- none -	 	 
fig|1114873.10.peg.21	CDS	NZ_MUHG01000002	40338	39004	-3	-	1335	Molybdopterin oxidoreductase subunit, predicted; chaperone protein HtpG	- none -	 	 
fig|1114873.10.peg.22	CDS	NZ_MUHG01000002	40558	40947	1	+	390	hypothetical protein	- none -	 	 
fig|1114873.10.peg.23	CDS	NZ_MUHG01000002	42169	41660	-1	-	510	hypothetical protein	- none -	 	 
