Feature ID	Type	Contig	Start	Stop	Frame	Strand	Length (bp)	Function	Subsystem	NCBI GI	locus
fig|1341181.9.peg.1	CDS	NZ_AVGG01000001	1805	573	-2	-	1233	ABC transporter, permease protein	- none -	 	 
fig|1341181.9.peg.2	CDS	NZ_AVGG01000001	1811	3028	2	+	1218	Protein YzbB	- none -	 	 
fig|1341181.9.peg.3	CDS	NZ_AVGG01000001	3581	3216	-2	-	366	hypothetical protein	- none -	 	 
fig|1341181.9.peg.4	CDS	NZ_AVGG01000001	3997	3584	-1	-	414	lipoprotein, putative	- none -	 	 
fig|1341181.9.peg.5	CDS	NZ_AVGG01000001	4529	4032	-2	-	498	FIG00650678: hypothetical protein	- none -	 	 
fig|1341181.9.peg.6	CDS	NZ_AVGG01000001	4622	5332	2	+	711	SAM-dependent methyltransferase	- none -	 	 
fig|1341181.9.peg.7	CDS	NZ_AVGG01000001	5812	5405	-1	-	408	hypothetical protein	- none -	 	 
fig|1341181.9.peg.8	CDS	NZ_AVGG01000001	6493	5840	-1	-	654	7-carboxy-7-deazaguanine synthase (EC 4.3.99.3)	- none -	 	 
fig|1341181.9.peg.9	CDS	NZ_AVGG01000001	6719	6528	-2	-	192	hypothetical protein	- none -	 	 
fig|1341181.9.peg.10	CDS	NZ_AVGG01000001	8418	6745	-3	-	1674	Tetratricopeptide repeat family protein	- none -	 	 
fig|1341181.9.peg.11	CDS	NZ_AVGG01000001	9364	8447	-1	-	918	Putative phosphate ABC transporter, phosphate-binding component	- none -	 	 
fig|1341181.9.peg.12	CDS	NZ_AVGG01000001	9586	9365	-1	-	222	hypothetical protein	- none -	 	 
fig|1341181.9.peg.13	CDS	NZ_AVGG01000001	10409	9588	-2	-	822	putative TonB-dependent receptor	- none -	 	 
fig|1341181.9.peg.14	CDS	NZ_AVGG01000001	11010	10441	-3	-	570	Biopolymer transport protein ExbD/TolR	Ton and Tol transport systems	 	 
fig|1341181.9.peg.15	CDS	NZ_AVGG01000001	11644	11030	-1	-	615	Biopolymer transport protein ExbD/TolR	Ton and Tol transport systems	 	 
fig|1341181.9.peg.16	CDS	NZ_AVGG01000001	12565	11735	-1	-	831	MotA/TolQ/ExbB proton channel family protein	Ton and Tol transport systems	 	 
fig|1341181.9.peg.17	CDS	NZ_AVGG01000001	12905	14422	2	+	1518	Uncharacterized protein YjgR	- none -	 	 
fig|1341181.9.peg.18	CDS	NZ_AVGG01000001	14422	14790	1	+	369	Uncharacterized membrane protein PA1577	- none -	 	 
fig|1341181.9.peg.19	CDS	NZ_AVGG01000001	14795	15157	2	+	363	hypothetical protein	- none -	 	 
fig|1341181.9.peg.20	CDS	NZ_AVGG01000001	16520	15177	-2	-	1344	Kynurenine 3-monooxygenase (EC 1.14.13.9)	NAD and NADP cofactor biosynthesis global	 	 
fig|1341181.9.peg.21	CDS	NZ_AVGG01000001	17712	16636	-3	-	1077	Agmatinase (EC 3.5.3.11)	Arginine and Ornithine Degradation; <br>Polyamine Metabolism	 	 
fig|1341181.9.peg.22	CDS	NZ_AVGG01000001	19022	17727	-2	-	1296	Kynureninase (EC 3.7.1.3)	NAD and NADP cofactor biosynthesis global	 	 
fig|1341181.9.peg.23	CDS	NZ_AVGG01000001	19131	19265	3	+	135	hypothetical protein	- none -	 	 
fig|1341181.9.peg.24	CDS	NZ_AVGG01000001	20317	19268	-1	-	1050	S-adenosylmethionine:tRNA ribosyltransferase-isomerase (EC 2.4.99.17)	- none -	 	 
fig|1341181.9.peg.25	CDS	NZ_AVGG01000001	20469	20338	-3	-	132	hypothetical protein	- none -	 	 
fig|1341181.9.peg.26	CDS	NZ_AVGG01000001	20670	20536	-3	-	135	hypothetical protein	- none -	 	 
fig|1341181.9.peg.27	CDS	NZ_AVGG01000001	20930	23797	2	+	2868	hypothetical protein	- none -	 	 
fig|1341181.9.peg.28	CDS	NZ_AVGG01000001	23802	24548	3	+	747	response regulator	- none -	 	 
fig|1341181.9.peg.29	CDS	NZ_AVGG01000001	25775	24549	-2	-	1227	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19)	- none -	 	 
fig|1341181.9.peg.30	CDS	NZ_AVGG01000001	26134	25772	-1	-	363	Conserved protein	- none -	 	 
fig|1341181.9.peg.31	CDS	NZ_AVGG01000001	26491	26165	-1	-	327	hypothetical protein	- none -	 	 
fig|1341181.9.peg.32	CDS	NZ_AVGG01000001	26706	26488	-3	-	219	hypothetical protein	- none -	 	 
fig|1341181.9.peg.33	CDS	NZ_AVGG01000001	27161	26709	-2	-	453	D-aminoacyl-tRNA deacylase (EC 3.1.1.96)	- none -	 	 
fig|1341181.9.peg.34	CDS	NZ_AVGG01000001	28161	27181	-3	-	981	Ribosome small subunit biogenesis RbfA-release protein RsgA	- none -	 	 
fig|1341181.9.peg.35	CDS	NZ_AVGG01000001	29264	28272	-2	-	993	hypothetical protein	- none -	 	 
fig|1341181.9.peg.36	CDS	NZ_AVGG01000001	30460	29381	-1	-	1080	2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I beta (EC 2.5.1.54) / Chorismate mutase I (EC 5.4.99.5)	Common Pathway For Synthesis of Aromatic Compounds (DAHP synthase to chorismate); <br>Phenylalanine and Tyrosine Branches from Chorismate	 	 
fig|1341181.9.peg.37	CDS	NZ_AVGG01000001	31344	30460	-3	-	885	Prephenate and/or arogenate dehydrogenase (unknown specificity) (EC 1.3.1.12)(EC 1.3.1.43)	Phenylalanine and Tyrosine Branches from Chorismate	 	 
fig|1341181.9.peg.38	CDS	NZ_AVGG01000001	32489	31344	-2	-	1146	Biosynthetic Aromatic amino acid aminotransferase alpha (EC 2.6.1.57) @ Aspartate aminotransferase (EC 2.6.1.1)	CBSS-216591.1.peg.168; <br>Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis; <br>Phenylalanine and Tyrosine Branches from Chorismate; <br>Threonine and Homoserine Biosynthesis	 	 
fig|1341181.9.peg.39	CDS	NZ_AVGG01000001	33346	32486	-1	-	861	Prephenate dehydratase (EC 4.2.1.51)	Phenylalanine and Tyrosine Branches from Chorismate	 	 
fig|1341181.9.peg.40	CDS	NZ_AVGG01000001	33599	34498	2	+	900	Gliding motility-associated ABC transporter ATP-binding protein GldA	- none -	 	 
fig|1341181.9.peg.41	CDS	NZ_AVGG01000001	35465	34725	-2	-	741	hypothetical protein	- none -	 	 
fig|1341181.9.peg.42	CDS	NZ_AVGG01000001	36553	35462	-1	-	1092	FIG01019437: hypothetical protein	- none -	 	 
fig|1341181.9.peg.43	CDS	NZ_AVGG01000001	37095	36844	-3	-	252	hypothetical protein	- none -	 	 
