Feature ID	Type	Contig	Start	Stop	Frame	Strand	Length (bp)	Function	Subsystem	NCBI GI	locus
fig|1450525.14.peg.1	CDS	NZ_JATV01000001	802	257	-1	-	546	hypothetical protein	- none -	 	 
fig|1450525.14.peg.2	CDS	NZ_JATV01000001	1482	832	-3	-	651	hypothetical protein	- none -	 	 
fig|1450525.14.peg.3	CDS	NZ_JATV01000001	1939	1493	-1	-	447	hypothetical protein	- none -	 	 
fig|1450525.14.peg.4	CDS	NZ_JATV01000001	2122	4230	1	+	2109	ATP-dependent DNA helicase RecG (EC 3.6.4.12)	- none -	 	 
fig|1450525.14.peg.5	CDS	NZ_JATV01000001	4747	5805	1	+	1059	CzcABC family efflux RND transporter, membrane fusion protein	- none -	 	 
fig|1450525.14.peg.6	CDS	NZ_JATV01000001	5932	9027	1	+	3096	RND efflux system, inner membrane transporter	- none -	 	 
fig|1450525.14.peg.7	CDS	NZ_JATV01000001	9215	10519	2	+	1305	Agglutination protein	- none -	 	 
fig|1450525.14.peg.8	CDS	NZ_JATV01000001	10536	11399	3	+	864	hypothetical protein	- none -	 	 
fig|1450525.14.peg.9	CDS	NZ_JATV01000001	11496	13916	3	+	2421	Phenylalanyl-tRNA synthetase beta chain (EC 6.1.1.20)	tRNA aminoacylation, Phe	 	 
fig|1450525.14.peg.10	CDS	NZ_JATV01000001	14116	14946	1	+	831	FIG032012: hypothetical protein	CBSS-226186.1.peg.3978	 	 
fig|1450525.14.peg.11	CDS	NZ_JATV01000001	14943	15539	3	+	597	16S rRNA (guanine(966)-N(2))-methyltransferase (EC 2.1.1.171)	CBSS-226186.1.peg.3978; <br>CBSS-266117.6.peg.1260; <br>CBSS-269801.1.peg.1715; <br>RNA methylation	 	 
fig|1450525.14.peg.12	CDS	NZ_JATV01000001	17453	16074	-2	-	1380	Xanthosine permease	- none -	 	 
fig|1450525.14.peg.13	CDS	NZ_JATV01000001	18218	17523	-2	-	696	Cytidylate kinase (EC 2.7.4.25)	pyrimidine conversions	 	 
fig|1450525.14.peg.14	CDS	NZ_JATV01000001	19510	18485	-1	-	1026	low affinity penicillin binding protein	- none -	 	 
fig|1450525.14.peg.15	CDS	NZ_JATV01000001	22108	19655	-1	-	2454	ATP-dependent protease La (EC 3.4.21.53) Type I	Proteolysis in bacteria, ATP-dependent	 	 
fig|1450525.14.peg.16	CDS	NZ_JATV01000001	22329	22478	3	+	150	hypothetical protein	- none -	 	 
fig|1450525.14.peg.17	CDS	NZ_JATV01000001	22672	23142	1	+	471	RNA polymerase ECF-type sigma factor	- none -	 	 
fig|1450525.14.peg.18	CDS	NZ_JATV01000001	23123	23668	2	+	546	hypothetical protein	- none -	 	 
fig|1450525.14.peg.19	CDS	NZ_JATV01000001	23652	24713	3	+	1062	hypothetical protein	- none -	 	 
fig|1450525.14.peg.20	CDS	NZ_JATV01000001	24730	25467	1	+	738	hypothetical protein	- none -	 	 
fig|1450525.14.peg.21	CDS	NZ_JATV01000001	26910	25588	-3	-	1323	Uncharacterized MFS-type transporter	- none -	 	 
fig|1450525.14.peg.22	CDS	NZ_JATV01000001	27855	27040	-3	-	816	Zn-dependent protease with chaperone function PA4632	- none -	 	 
fig|1450525.14.peg.23	CDS	NZ_JATV01000001	28470	28048	-3	-	423	hypothetical protein	- none -	 	 
fig|1450525.14.peg.24	CDS	NZ_JATV01000001	29415	28543	-3	-	873	Succinyl-CoA ligase [ADP-forming] alpha chain (EC 6.2.1.5)	- none -	 	 
fig|1450525.14.peg.25	CDS	NZ_JATV01000001	29866	29501	-1	-	366	hypothetical protein	- none -	 	 
fig|1450525.14.peg.26	CDS	NZ_JATV01000001	30797	29868	-2	-	930	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase (EC 2.3.1.191)	- none -	 	 
fig|1450525.14.peg.27	CDS	NZ_JATV01000001	31448	30882	-2	-	567	Translation elongation factor P	Modification of eukaryotic initiation factor 5A; <br>Translation elongation factors bacterial	 	 
fig|1450525.14.peg.28	CDS	NZ_JATV01000001	32328	31543	-3	-	786	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase (EC 2.3.1.129)	- none -	 	 
fig|1450525.14.peg.29	CDS	NZ_JATV01000001	33787	32399	-1	-	1389	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase (EC 3.5.1.108) / 3-hydroxyacyl-[acyl-carrier-protein] dehydratase, FabZ form (EC 4.2.1.59)	Fatty Acid Biosynthesis FASII	 	 
fig|1450525.14.peg.30	CDS	NZ_JATV01000001	34820	33780	-2	-	1041	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase (EC 2.3.1.191)	- none -	 	 
fig|1450525.14.peg.31	CDS	NZ_JATV01000001	36181	34952	-1	-	1230	dNTP triphosphohydrolase, broad substrate specificity	- none -	 	 
fig|1450525.14.peg.32	CDS	NZ_JATV01000001	36401	37984	2	+	1584	Response regulator	- none -	 	 
fig|1450525.14.peg.33	CDS	NZ_JATV01000001	40126	38060	-1	-	2067	Aminopeptidase	- none -	 	 
fig|1450525.14.peg.34	CDS	NZ_JATV01000001	40193	40960	2	+	768	COG2102: Predicted ATPases of PP-loop superfamily	- none -	 	 
fig|1450525.14.peg.35	CDS	NZ_JATV01000001	41317	41583	1	+	267	hypothetical protein	- none -	 	 
fig|1450525.14.peg.36	CDS	NZ_JATV01000001	41784	41945	3	+	162	hypothetical protein	- none -	 	 
fig|1450525.14.peg.37	CDS	NZ_JATV01000001	42978	42205	-3	-	774	putative restriction endonuclease	- none -	 	 
fig|1450525.14.peg.38	CDS	NZ_JATV01000001	43893	42979	-3	-	915	hypothetical protein	- none -	 	 
fig|1450525.14.peg.39	CDS	NZ_JATV01000001	46268	43890	-2	-	2379	hypothetical protein	- none -	 	 
fig|1450525.14.peg.40	CDS	NZ_JATV01000001	47489	46272	-2	-	1218	DNA-cytosine methyltransferase (EC 2.1.1.37)	DNA repair, bacterial	 	 
fig|1450525.14.peg.41	CDS	NZ_JATV01000001	47710	52659	1	+	4950	hypothetical protein	- none -	 	 
fig|1450525.14.peg.42	CDS	NZ_JATV01000001	52687	54975	1	+	2289	hypothetical protein	- none -	 	 
fig|1450525.14.peg.43	CDS	NZ_JATV01000001	58096	55595	-1	-	2502	Peptidase M14, carboxypeptidase A precursor	- none -	 	 
fig|1450525.14.peg.44	CDS	NZ_JATV01000001	58181	58294	2	+	114	hypothetical protein	- none -	 	 
fig|1450525.14.peg.45	CDS	NZ_JATV01000001	58354	59295	1	+	942	hypothetical protein	- none -	 	 
fig|1450525.14.peg.46	CDS	NZ_JATV01000001	60460	59384	-1	-	1077	hypothetical protein	- none -	 	 
fig|1450525.14.peg.47	CDS	NZ_JATV01000001	60696	62171	3	+	1476	L-serine dehydratase, beta subunit (EC 4.3.1.17) / L-serine dehydratase, alpha subunit (EC 4.3.1.17)	Glycine and Serine Utilization; <br>Glycine and Serine Utilization; <br>Pyruvate Alanine Serine Interconversions; <br>Pyruvate Alanine Serine Interconversions	 	 
fig|1450525.14.peg.48	CDS	NZ_JATV01000001	62177	62548	2	+	372	Uncharacterized membrane protein YjgA	- none -	 	 
fig|1450525.14.peg.49	CDS	NZ_JATV01000001	64508	62790	-2	-	1719	Two-component system sensor histidine kinase FrrD	- none -	 	 
fig|1450525.14.peg.50	CDS	NZ_JATV01000001	65655	64528	-3	-	1128	Osmosensitive K+ channel histidine kinase KdpD	- none -	 	 
fig|1450525.14.peg.51	CDS	NZ_JATV01000001	66970	65894	-1	-	1077	Outer membrane protein	- none -	 	 
fig|1450525.14.peg.52	CDS	NZ_JATV01000001	67747	67094	-1	-	654	Potassium-transporting ATPase C chain (EC 3.6.3.12) (TC 3.A.3.7.1)	Potassium homeostasis	 	 
fig|1450525.14.peg.53	CDS	NZ_JATV01000001	69889	67823	-1	-	2067	Potassium-transporting ATPase B chain (EC 3.6.3.12) (TC 3.A.3.7.1)	Potassium homeostasis	 	 
fig|1450525.14.peg.54	CDS	NZ_JATV01000001	69974	70333	2	+	360	hypothetical protein	- none -	 	 
fig|1450525.14.peg.55	CDS	NZ_JATV01000001	70546	70430	-1	-	117	hypothetical protein	- none -	 	 
fig|1450525.14.peg.56	CDS	NZ_JATV01000001	71356	70571	-1	-	786	Transposase, GSU2180 family	- none -	 	 
fig|1450525.14.peg.57	CDS	NZ_JATV01000001	71793	71395	-3	-	399	Mobile element protein	- none -	 	 
fig|1450525.14.peg.58	CDS	NZ_JATV01000001	72639	72079	-3	-	561	FIG00653041: hypothetical protein	- none -	 	 
fig|1450525.14.peg.59	CDS	NZ_JATV01000001	72743	73099	2	+	357	hypothetical protein	- none -	 	 
fig|1450525.14.peg.60	CDS	NZ_JATV01000001	73157	74200	2	+	1044	Phenylalanyl-tRNA synthetase alpha chain (EC 6.1.1.20)	tRNA aminoacylation, Phe	 	 
fig|1450525.14.peg.61	CDS	NZ_JATV01000001	74293	74700	1	+	408	FIG00907129: hypothetical protein	- none -	 	 
fig|1450525.14.peg.62	CDS	NZ_JATV01000001	75343	74777	-1	-	567	hypothetical protein	- none -	 	 
fig|1450525.14.peg.63	CDS	NZ_JATV01000001	76404	75409	-3	-	996	Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94)	- none -	 	 
fig|1450525.14.peg.64	CDS	NZ_JATV01000001	77857	76694	-1	-	1164	NADH-dependent butanol dehydrogenase A (EC 1.1.1.-)	Butanol Biosynthesis	 	 
fig|1450525.14.peg.65	CDS	NZ_JATV01000001	78725	77958	-2	-	768	Intracellular protease	- none -	 	 
fig|1450525.14.peg.66	CDS	NZ_JATV01000001	78791	79714	2	+	924	Regulatory protein CysB	- none -	 	 
fig|1450525.14.peg.67	CDS	NZ_JATV01000001	80326	79715	-1	-	612	Nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18)	NAD and NADP cofactor biosynthesis global	 	 
fig|1450525.14.peg.68	CDS	NZ_JATV01000001	80725	80360	-1	-	366	hypothetical protein	- none -	 	 
fig|1450525.14.peg.69	CDS	NZ_JATV01000001	81346	80774	-1	-	573	Guanylate kinase (EC 2.7.4.8)	Purine conversions	 	 
fig|1450525.14.peg.70	CDS	NZ_JATV01000001	82272	81412	-3	-	861	UPF0701 protein YicC	- none -	 	 
fig|1450525.14.peg.71	CDS	NZ_JATV01000001	83234	82335	-2	-	900	Permease of the drug/metabolite transporter (DMT) superfamily	- none -	 	 
