Feature ID	Type	Contig	Start	Stop	Frame	Strand	Length (bp)	Function	Subsystem	NCBI GI	locus
fig|1587524.10.peg.1	CDS	NZ_JXQR01000001	82	678	1	+	597	Transcriptional regulator, AcrR family	- none -	 	 
fig|1587524.10.peg.2	CDS	NZ_JXQR01000001	685	912	1	+	228	hypothetical protein	- none -	 	 
fig|1587524.10.peg.3	CDS	NZ_JXQR01000001	934	2196	1	+	1263	Uncharacterized MFS-type transporter	- none -	 	 
fig|1587524.10.peg.4	CDS	NZ_JXQR01000001	2656	3666	1	+	1011	Transcriptional regulator, LacI family	- none -	 	 
fig|1587524.10.peg.5	CDS	NZ_JXQR01000001	3974	7063	2	+	3090	Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family	- none -	 	 
fig|1587524.10.peg.6	CDS	NZ_JXQR01000001	7074	8591	3	+	1518	Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family	- none -	 	 
fig|1587524.10.peg.7	CDS	NZ_JXQR01000001	8708	8848	2	+	141	hypothetical protein	- none -	 	 
fig|1587524.10.peg.8	CDS	NZ_JXQR01000001	8931	10919	3	+	1989	Beta-mannosidase (EC 3.2.1.25)	Mannose Metabolism	 	 
fig|1587524.10.peg.9	CDS	NZ_JXQR01000001	11073	13349	3	+	2277	Alpha-1,2-mannosidase	Mannose Metabolism	 	 
fig|1587524.10.peg.10	CDS	NZ_JXQR01000001	13515	15800	3	+	2286	Alpha-1,2-mannosidase	Mannose Metabolism	 	 
fig|1587524.10.peg.11	CDS	NZ_JXQR01000001	15805	17268	1	+	1464	hypothetical protein	- none -	 	 
fig|1587524.10.peg.12	CDS	NZ_JXQR01000001	17351	18280	2	+	930	Predicted N-acetyl-glucosamine kinase 2, ROK family (EC 2.7.1.59)	- none -	 	 
fig|1587524.10.peg.13	CDS	NZ_JXQR01000001	18693	18854	3	+	162	hypothetical protein	- none -	 	 
fig|1587524.10.peg.14	CDS	NZ_JXQR01000001	18854	19423	2	+	570	hypothetical protein	- none -	 	 
fig|1587524.10.peg.15	CDS	NZ_JXQR01000001	22564	19763	-1	-	2802	Probable zinc protease pqqL (EC 3.4.99.-)	- none -	 	 
fig|1587524.10.peg.16	CDS	NZ_JXQR01000001	24837	22576	-3	-	2262	Gliding motility-associated ABC transporter permease protein GldF / Gliding motility-associated ABC transporter substrate-binding protein GldG	- none -	 	 
fig|1587524.10.peg.17	CDS	NZ_JXQR01000001	25796	24849	-2	-	948	Gliding motility-associated ABC transporter ATP-binding protein GldA	- none -	 	 
fig|1587524.10.peg.18	CDS	NZ_JXQR01000001	27230	25860	-2	-	1371	Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family	- none -	 	 
fig|1587524.10.peg.19	CDS	NZ_JXQR01000001	30631	27242	-1	-	3390	Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family	- none -	 	 
fig|1587524.10.peg.20	CDS	NZ_JXQR01000001	31800	30766	-3	-	1035	hypothetical protein	- none -	 	 
fig|1587524.10.peg.21	CDS	NZ_JXQR01000002	1	453	1	+	453	Transcriptional regulator, AcrR family	- none -	 	 
