Feature ID	Type	Contig	Start	Stop	Frame	Strand	Length (bp)	Function	Subsystem	NCBI GI	locus
fig|1086011.13.peg.1	CDS	NZ_AHKF01000001	1700	3	-2	-	1698	hypothetical protein	- none -	 	 
fig|1086011.13.peg.2	CDS	NZ_AHKF01000001	2030	2176	2	+	147	hypothetical protein	- none -	 	 
fig|1086011.13.peg.3	CDS	NZ_AHKF01000004	825	2771	3	+	1947	Threonyl-tRNA synthetase (EC 6.1.1.3)	tRNA aminoacylation, Thr	 	 
fig|1086011.13.peg.4	CDS	NZ_AHKF01000004	3007	3345	1	+	339	Translation initiation factor 3	Mycobacterium virulence operon involved in protein synthesis (LSU ribosomal proteins); <br>Translation initiation factors bacterial	 	 
fig|1086011.13.peg.5	CDS	NZ_AHKF01000004	3460	3657	1	+	198	LSU ribosomal protein L35p	Mycobacterium virulence operon involved in protein synthesis (LSU ribosomal proteins)	 	 
fig|1086011.13.peg.6	CDS	NZ_AHKF01000004	3837	4181	3	+	345	LSU ribosomal protein L20p	Mycobacterium virulence operon involved in protein synthesis (LSU ribosomal proteins)	 	 
fig|1086011.13.peg.7	CDS	NZ_AHKF01000004	4581	5249	3	+	669	hypothetical protein	- none -	 	 
fig|1086011.13.peg.8	CDS	NZ_AHKF01000004	5409	5708	3	+	300	hypothetical protein	- none -	 	 
fig|1086011.13.peg.9	CDS	NZ_AHKF01000004	6088	6507	1	+	420	hypothetical protein	- none -	 	 
fig|1086011.13.peg.10	CDS	NZ_AHKF01000004	6706	7122	1	+	417	hypothetical protein	- none -	 	 
fig|1086011.13.peg.11	CDS	NZ_AHKF01000004	7246	8049	1	+	804	Endonuclease/exonuclease/phosphatase	- none -	 	 
fig|1086011.13.peg.12	CDS	NZ_AHKF01000004	8967	8056	-3	-	912	Glutaminase (EC 3.5.1.2)	Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis	 	 
fig|1086011.13.peg.13	CDS	NZ_AHKF01000004	10275	9013	-3	-	1263	hypothetical protein	- none -	 	 
fig|1086011.13.peg.14	CDS	NZ_AHKF01000004	10461	10586	3	+	126	hypothetical protein	- none -	 	 
fig|1086011.13.peg.15	CDS	NZ_AHKF01000004	10887	11012	3	+	126	hypothetical protein	- none -	 	 
fig|1086011.13.peg.16	CDS	NZ_AHKF01000004	11718	11056	-3	-	663	DNA-binding response regulator DegU	- none -	 	 
fig|1086011.13.peg.17	CDS	NZ_AHKF01000004	12513	11722	-3	-	792	Two-component system sensor histidine kinase	- none -	 	 
fig|1086011.13.peg.18	CDS	NZ_AHKF01000004	13150	12515	-1	-	636	hypothetical protein	- none -	 	 
fig|1086011.13.peg.19	CDS	NZ_AHKF01000004	13356	13156	-3	-	201	hypothetical protein	- none -	 	 
fig|1086011.13.peg.20	CDS	NZ_AHKF01000004	13469	13353	-2	-	117	hypothetical protein	- none -	 	 
fig|1086011.13.peg.21	CDS	NZ_AHKF01000004	14201	13554	-2	-	648	hypothetical protein	- none -	 	 
fig|1086011.13.peg.22	CDS	NZ_AHKF01000004	14638	14204	-1	-	435	hypothetical protein	- none -	 	 
fig|1086011.13.peg.23	CDS	NZ_AHKF01000004	16387	14843	-1	-	1545	Replicative DNA helicase (DnaB) (EC 3.6.4.12)	- none -	 	 
fig|1086011.13.peg.24	CDS	NZ_AHKF01000004	17481	16528	-3	-	954	Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2)	Fatty Acid Biosynthesis FASII; <br>Pterin synthesis related cluster	 	 
fig|1086011.13.peg.25	CDS	NZ_AHKF01000004	18328	17741	-1	-	588	Protein tyrosine phosphatase	- none -	 	 
fig|1086011.13.peg.26	CDS	NZ_AHKF01000004	19419	18532	-3	-	888	hypothetical protein	- none -	 	 
fig|1086011.13.peg.27	CDS	NZ_AHKF01000004	20494	19406	-1	-	1089	Lipopolysaccharide export system permease protein LptG	- none -	 	 
fig|1086011.13.peg.28	CDS	NZ_AHKF01000004	21722	20592	-2	-	1131	Queuine tRNA-ribosyltransferase (EC 2.4.2.29)	- none -	 	 
fig|1086011.13.peg.29	CDS	NZ_AHKF01000004	22302	22817	3	+	516	hypothetical protein	- none -	 	 
fig|1086011.13.peg.30	CDS	NZ_AHKF01000004	23119	24297	1	+	1179	hypothetical protein	- none -	 	 
fig|1086011.13.peg.31	CDS	NZ_AHKF01000004	24423	25286	3	+	864	formyl transferase domain protein	- none -	 	 
fig|1086011.13.peg.32	CDS	NZ_AHKF01000004	25888	25421	-1	-	468	hypothetical protein	- none -	 	 
fig|1086011.13.peg.33	CDS	NZ_AHKF01000004	26172	27032	3	+	861	L,D-transpeptidase	- none -	 	 
fig|1086011.13.peg.34	CDS	NZ_AHKF01000004	27867	27040	-3	-	828	Esterase/lipase/thioesterase family protein	- none -	 	 
fig|1086011.13.peg.35	CDS	NZ_AHKF01000004	28103	28891	2	+	789	Adenylate cyclase (EC 4.6.1.1)	cAMP signaling in bacteria	 	 
fig|1086011.13.peg.36	CDS	NZ_AHKF01000004	28965	29513	3	+	549	hypothetical protein	- none -	 	 
fig|1086011.13.peg.37	CDS	NZ_AHKF01000004	30002	30745	2	+	744	Rhomboid family protein	- none -	 	 
fig|1086011.13.peg.38	CDS	NZ_AHKF01000004	30820	31230	1	+	411	Acid-resistant locus arl7 (Fragment)	- none -	 	 
fig|1086011.13.peg.39	CDS	NZ_AHKF01000004	31688	32263	2	+	576	Stress response diiron-containing protein YciF	- none -	 	 
fig|1086011.13.peg.40	CDS	NZ_AHKF01000004	32545	32832	1	+	288	Rhodanese-like protein	- none -	 	 
fig|1086011.13.peg.41	CDS	NZ_AHKF01000004	32834	33145	2	+	312	Rhodanese-like protein	- none -	 	 
fig|1086011.13.peg.42	CDS	NZ_AHKF01000004	33145	33408	1	+	264	hypothetical protein	- none -	 	 
fig|1086011.13.peg.43	CDS	NZ_AHKF01000004	34671	33577	-3	-	1095	Flavoprotein NADH-dependent oxidoreductase	- none -	 	 
fig|1086011.13.peg.44	CDS	NZ_AHKF01000004	35208	34693	-3	-	516	hypothetical protein	- none -	 	 
fig|1086011.13.peg.45	CDS	NZ_AHKF01000004	35879	35298	-2	-	582	cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases	cAMP signaling in bacteria	 	 
fig|1086011.13.peg.46	CDS	NZ_AHKF01000004	36076	36930	1	+	855	Transketolase, N-terminal section (EC 2.2.1.1)	Pentose phosphate pathway	 	 
fig|1086011.13.peg.47	CDS	NZ_AHKF01000004	36973	37641	1	+	669	hypothetical protein	- none -	 	 
fig|1086011.13.peg.48	CDS	NZ_AHKF01000004	37638	38591	3	+	954	Transketolase, C-terminal section (EC 2.2.1.1)	Pentose phosphate pathway	 	 
fig|1086011.13.peg.49	CDS	NZ_AHKF01000004	39703	38663	-1	-	1041	FKBP-type peptidyl-prolyl cis-trans isomerase FkpA precursor (EC 5.2.1.8)	Peptidyl-prolyl cis-trans isomerase; <br>Potassium homeostasis	 	 
fig|1086011.13.peg.50	CDS	NZ_AHKF01000004	39737	40174	2	+	438	Ribosome-associated heat shock protein implicated in the recycling of the 50S subunit (S4 paralog)	DNA replication cluster 1	 	 
fig|1086011.13.peg.51	CDS	NZ_AHKF01000004	40208	40708	2	+	501	Uncharacterized protein SAV2112	- none -	 	 
fig|1086011.13.peg.52	CDS	NZ_AHKF01000004	41218	40700	-1	-	519	Shikimate kinase I (EC 2.7.1.71)	Common Pathway For Synthesis of Aromatic Compounds (DAHP synthase to chorismate)	 	 
fig|1086011.13.peg.53	CDS	NZ_AHKF01000004	42500	41982	-2	-	519	hypothetical protein	- none -	 	 
fig|1086011.13.peg.54	CDS	NZ_AHKF01000004	43346	43197	-2	-	150	hypothetical protein	- none -	 	 
fig|1086011.13.peg.55	CDS	NZ_AHKF01000004	44207	43674	-2	-	534	hypothetical protein	- none -	 	 
fig|1086011.13.peg.56	CDS	NZ_AHKF01000004	44805	44275	-3	-	531	hypothetical protein	- none -	 	 
fig|1086011.13.peg.57	CDS	NZ_AHKF01000004	45263	44817	-2	-	447	hypothetical protein	- none -	 	 
fig|1086011.13.peg.58	CDS	NZ_AHKF01000004	45759	45244	-3	-	516	RNA polymerase ECF-type sigma factor	- none -	 	 
fig|1086011.13.peg.59	CDS	NZ_AHKF01000004	45885	47330	3	+	1446	Carboxyl-terminal protease	- none -	 	 
fig|1086011.13.peg.60	CDS	NZ_AHKF01000004	47405	48022	2	+	618	N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)	Murein Hydrolases; <br>Recycling of Peptidoglycan Amino Acids	 	 
fig|1086011.13.peg.61	CDS	NZ_AHKF01000004	50044	48092	-1	-	1953	Outer membrane vitamin B12 receptor BtuB	- none -	 	 
fig|1086011.13.peg.62	CDS	NZ_AHKF01000004	50466	51608	3	+	1143	Vitamin B12 ABC transporter, substrate-binding protein BtuF	- none -	 	 
fig|1086011.13.peg.63	CDS	NZ_AHKF01000004	51610	52641	1	+	1032	Vitamin B12 ABC transporter, permease protein BtuC	- none -	 	 
fig|1086011.13.peg.64	CDS	NZ_AHKF01000004	52653	53423	3	+	771	Vitamin B12 ABC transporter, ATP-binding protein BtuD	- none -	 	 
fig|1086011.13.peg.65	CDS	NZ_AHKF01000004	53603	53812	2	+	210	hypothetical protein	- none -	 	 
fig|1086011.13.peg.66	CDS	NZ_AHKF01000004	55660	54053	-1	-	1608	hypothetical protein	- none -	 	 
fig|1086011.13.peg.67	CDS	NZ_AHKF01000004	56226	55771	-3	-	456	tRNA (cytidine(34)-2&#39;-O)-methyltransferase (EC 2.1.1.207)	RNA methylation	 	 
fig|1086011.13.peg.68	CDS	NZ_AHKF01000004	56983	56276	-1	-	708	LSU rRNA pseudouridine(2457) synthase (EC 5.4.99.20)	- none -	 	 
fig|1086011.13.peg.69	CDS	NZ_AHKF01000004	57009	57359	3	+	351	hypothetical protein	- none -	 	 
fig|1086011.13.peg.70	CDS	NZ_AHKF01000004	57489	58859	3	+	1371	DNA recombination protein RmuC	DNA repair, bacterial	 	 
fig|1086011.13.peg.71	CDS	NZ_AHKF01000004	58868	59233	2	+	366	hypothetical protein	- none -	 	 
fig|1086011.13.peg.72	CDS	NZ_AHKF01000004	59236	59784	1	+	549	Acyl CoA thioester hydrolase family protein	- none -	 	 
fig|1086011.13.peg.73	CDS	NZ_AHKF01000004	59998	60474	1	+	477	hypothetical protein	- none -	 	 
fig|1086011.13.peg.74	CDS	NZ_AHKF01000004	61475	60477	-2	-	999	Cell division inhibitor Slr1223 (YfcH in EC), contains epimerase/dehydratase and DUF1731 domains	- none -	 	 
fig|1086011.13.peg.75	CDS	NZ_AHKF01000004	61513	62175	1	+	663	hypothetical protein	- none -	 	 
fig|1086011.13.peg.76	CDS	NZ_AHKF01000004	62172	63482	3	+	1311	Uncharacterized ABC1 family protein CHU_0987	- none -	 	 
fig|1086011.13.peg.77	CDS	NZ_AHKF01000004	63483	63761	3	+	279	Asl0491 protein	- none -	 	 
fig|1086011.13.peg.78	CDS	NZ_AHKF01000004	63790	64473	1	+	684	Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)	- none -	 	 
fig|1086011.13.peg.79	CDS	NZ_AHKF01000004	64513	65127	1	+	615	GTP cyclohydrolase I (EC 3.5.4.16) type 1	Folate Biosynthesis; <br>Folate biosynthesis cluster; <br>Pterin metabolism; <br>Pterin synthesis related cluster	 	 
fig|1086011.13.peg.80	CDS	NZ_AHKF01000004	65155	66573	1	+	1419	probable oxidoreductase-putative NAD-dependent nucleoside-diphosphate-sugar epimerase	- none -	 	 
fig|1086011.13.peg.81	CDS	NZ_AHKF01000004	68010	66715	-3	-	1296	Deoxyribodipyrimidine photolyase (EC 4.1.99.3)	DNA repair, bacterial photolyase	 	 
