Feature ID	Type	Contig	Start	Stop	Frame	Strand	Length (bp)	Function	Subsystem	NCBI GI	locus
fig|1341154.15.peg.1	CDS	NZ_AVBI01000001	1255	23	-1	-	1233	ABC transporter, permease protein	- none -	 	 
fig|1341154.15.peg.2	CDS	NZ_AVBI01000001	1261	2499	1	+	1239	Protein YzbB	- none -	 	 
fig|1341154.15.peg.3	CDS	NZ_AVBI01000001	2895	2527	-3	-	369	hypothetical protein	- none -	 	 
fig|1341154.15.peg.4	CDS	NZ_AVBI01000001	3299	2898	-2	-	402	hypothetical protein	- none -	 	 
fig|1341154.15.peg.5	CDS	NZ_AVBI01000001	3798	3301	-3	-	498	hypothetical protein	- none -	 	 
fig|1341154.15.peg.6	CDS	NZ_AVBI01000001	3921	4631	3	+	711	SAM-dependent methyltransferase	- none -	 	 
fig|1341154.15.peg.7	CDS	NZ_AVBI01000001	5095	4688	-1	-	408	hypothetical protein	- none -	 	 
fig|1341154.15.peg.8	CDS	NZ_AVBI01000001	5753	5121	-2	-	633	7-carboxy-7-deazaguanine synthase (EC 4.3.99.3)	- none -	 	 
fig|1341154.15.peg.9	CDS	NZ_AVBI01000001	7695	6019	-3	-	1677	Tetratricopeptide repeat family protein	- none -	 	 
fig|1341154.15.peg.10	CDS	NZ_AVBI01000001	8656	7727	-1	-	930	Putative phosphate ABC transporter, phosphate- binding component	- none -	 	 
fig|1341154.15.peg.11	CDS	NZ_AVBI01000001	8864	8676	-2	-	189	Ferric siderophore transport system, periplasmic binding protein TonB	Hemin transport system; <br>Ton and Tol transport systems	 	 
fig|1341154.15.peg.12	CDS	NZ_AVBI01000001	9082	8864	-1	-	219	hypothetical protein	- none -	 	 
fig|1341154.15.peg.13	CDS	NZ_AVBI01000001	9304	9083	-1	-	222	hypothetical protein	- none -	 	 
fig|1341154.15.peg.14	CDS	NZ_AVBI01000001	10121	9306	-2	-	816	putative TonB-dependent receptor	- none -	 	 
fig|1341154.15.peg.15	CDS	NZ_AVBI01000001	10717	10151	-1	-	567	Biopolymer transport protein ExbD/TolR	Ton and Tol transport systems	 	 
fig|1341154.15.peg.16	CDS	NZ_AVBI01000001	11350	10736	-1	-	615	Biopolymer transport protein ExbD/TolR	Ton and Tol transport systems	 	 
fig|1341154.15.peg.17	CDS	NZ_AVBI01000001	12271	11441	-1	-	831	MotA/TolQ/ExbB proton channel family protein	Ton and Tol transport systems	 	 
fig|1341154.15.peg.18	CDS	NZ_AVBI01000001	12609	14126	3	+	1518	Uncharacterized protein YjgR	- none -	 	 
fig|1341154.15.peg.19	CDS	NZ_AVBI01000001	14126	14494	2	+	369	Uncharacterized membrane protein PA1577	- none -	 	 
fig|1341154.15.peg.20	CDS	NZ_AVBI01000001	14504	14866	2	+	363	hypothetical protein	- none -	 	 
fig|1341154.15.peg.21	CDS	NZ_AVBI01000001	16229	14886	-2	-	1344	Kynurenine 3-monooxygenase (EC 1.14.13.9)	NAD and NADP cofactor biosynthesis global	 	 
fig|1341154.15.peg.22	CDS	NZ_AVBI01000001	16775	16374	-2	-	402	Outer membrane protein	- none -	 	 
fig|1341154.15.peg.23	CDS	NZ_AVBI01000001	17990	16914	-2	-	1077	Agmatinase (EC 3.5.3.11)	Arginine and Ornithine Degradation; <br>Polyamine Metabolism	 	 
fig|1341154.15.peg.24	CDS	NZ_AVBI01000001	20266	18182	-1	-	2085	hypothetical protein	- none -	 	 
fig|1341154.15.peg.25	CDS	NZ_AVBI01000001	21631	20354	-1	-	1278	Kynureninase (EC 3.7.1.3)	NAD and NADP cofactor biosynthesis global	 	 
fig|1341154.15.peg.26	CDS	NZ_AVBI01000001	21885	22325	3	+	441	hypothetical protein	- none -	 	 
fig|1341154.15.peg.27	CDS	NZ_AVBI01000001	23425	22376	-1	-	1050	S-adenosylmethionine:tRNA ribosyltransferase-isomerase (EC 2.4.99.17)	- none -	 	 
