Function,Subsystem,NCBI GI,locus,System,Category
NADH-dependent dehydrogenase,- none -, , ,none,none
SSS sodium solute transporter superfamily,none, , ,Membrane Transport - no subcategory,Membrane Transport
alpha-L-rhamnosidase (EC 3.2.1.40),- none -, , ,none,none
Beta-galactosidase,- none -, , ,none,none
beta-galactosidase (EC 3.2.1.23),- none -, , ,none,none
putative secreted protein,- none -, , ,none,none
Sialic acid-specific 9-O-acetylesterase,- none -, , ,none,none
Pectate lyase (EC 4.2.2.2),- none -, , ,none,none
Putative glycosyl hydrolase of unknown function (DUF1680),- none -, , ,none,none
"Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family",Ton and Tol transopt system; none, , ,Membrane Transport - no subcategory,Membrane Transport
"Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family",- none -, , ,none,none
Pectate lyase (EC 4.2.2.2),- none -, , ,none,none
Pectate lyase (EC 4.2.2.2),- none -, , ,none,none
FIG00404151: hypothetical protein,- none -, , ,none,none
Polygalacturonase (EC 3.2.1.15),D-Galacturonate and D-Glucuronate Utilization, , ,Monosaccharides,Carbohydrates
Arabinosidase,- none -, , ,none,none
alpha-rhamnosidase,- none -, , ,none,none
conserved hypothetical protein-putative secreted protein,- none -, , ,none,none
Putative large secreted protein SCO0341,- none -, , ,none,none
alpha-L-rhamnosidase (EC 3.2.1.40),- none -, , ,none,none
beta-galactosidase (EC 3.2.1.23),- none -, , ,none,none
beta-galactosidase (EC 3.2.1.23),- none -, , ,none,none
Uncharacterized protease YdcP,Protein degradation, , ,Protein degradation,Protein Metabolism
Lycopene beta-cyclase (EC 5.5.1.19),- none -, , ,none,none
TonB-dependent receptor; Outer membrane receptor for ferrienterochelin and colicins,Ton and Tol transopt system; Ton and Tol transport systems, , ,Membrane Transport - no subcategory,Membrane Transport
TonB-dependent receptor,Ton and Tol transopt system; Ton and Tol transport systems, , ,Membrane Transport - no subcategory,Membrane Transport
Zinc uptake regulation protein Zur,- none -, , ,none,none
Manganese transport protein MntH,none, , ,Membrane Transport - no subcategory,Membrane Transport
Mn-dependent transcriptional regulator MntR,none, , ,RNA processing and modification,RNA Metabolism
Ferrous iron transporter FeoB,none, , ,Membrane Transport - no subcategory,Membrane Transport
Ferrous iron transporter-associated protein FeoA,none, , ,Membrane Transport - no subcategory,Membrane Transport
"Cytochrome oxidase biogenesis protein Sco1/SenC/PrrC, thiol-disulfide reductase involved in Cu(I) insertion into CoxII Cu(A) center",Cytochrome, , ,Respiration - no subcategory,Respiration
Nucleoside-diphosphate-sugar epimerases,- none -, , ,none,none
Transglycosylase,- none -, , ,none,none
"Tas protein, an NADP(H)-dependent aldo-keto reductase",- none -, , ,none,none
OmpA domain protein,- none -, , ,none,none
Exodeoxyribonuclease III (EC 3.1.11.2),"DNA repair, bacterial", , ,DNA repair,DNA Metabolism
Putative hemolysin,- none -, , ,none,none
TM2 domain containing protein+B7201,- none -, , ,none,none
Integral membrane protein,- none -, , ,none,none
D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95),Glycine and Serine Utilization; <br>Pyridoxin (Vitamin B6) Biosynthesis; <br>Serine Biosynthesis, , ,"Alanine, serine, and glycine; Pyridoxine","Amino Acids and Derivatives; Cofactors, Vitamins, Prosthetic Groups, Pigments"
alpha-L-arabinofuranosidase II (EC 3.2.1.55),- none -, , ,none,none
Pyrroline-5-carboxylate reductase (EC 1.5.1.2),Proline Synthesis, , ,Proline and 4-hydroxyproline,Amino Acids and Derivatives
"Mg/Co/Ni transporter MgtE, CBS domain-containing",none, , ,Membrane Transport - no subcategory,Membrane Transport
SSU rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase (EC 2.1.1.182),ECSIG4-SIG7; <br>RNA methylation, , ,RNA processing and modification,RNA Metabolism
Secreted protein containing tetratricopeptide re peats,- none -, , ,none,none
Seryl-tRNA synthetase (EC 6.1.1.11),"Glycine and Serine Utilization; <br>tRNA aminoacylation, Ser", , ,"Alanine, serine, and glycine; Protein biosynthesis",Amino Acids and Derivatives; Protein Metabolism
"Acetyltransferase, GNAT family",- none -, , ,none,none
Methionyl-tRNA synthetase (EC 6.1.1.10),"tRNA aminoacylation, Met", , ,Protein biosynthesis,Protein Metabolism
Permease of the drug/metabolite transporter (DMT) superfamily,none, , ,Membrane Transport - no subcategory,Membrane Transport
"Hydrolase, haloacid delahogenase-like family",- none -, , ,none,none
Bacterial non-heme ferritin (EC 1.16.3.2),- none -, , ,none,none
Single-stranded DNA-binding protein,"DNA repair, bacterial; <br>DNA repair, bacterial RecFOR pathway", , ,DNA repair,DNA Metabolism
Carbon-nitrogen hydrolase,- none -, , ,none,none
"Peptidase, M20/M25/M40 family",Protein degradation, , ,Protein degradation,Protein Metabolism
DNA repair protein RadA,"<br>Proteolysis in bacteria, ATP-dependent; DNA repair, bacterial; none", , ,DNA repair; Protein degradation,DNA Metabolism; Protein Metabolism
Putative esterase,- none -, , ,none,none
Aspartate 1-decarboxylase (EC 4.1.1.11),Coenzyme A Biosynthesis; <br>Coenzyme A Biosynthesis cluster; <br>Folate biosynthesis cluster, , ,Coenzyme A; Folate and pterines,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
Pantoate--beta-alanine ligase (EC 6.3.2.1),Coenzyme A Biosynthesis; <br>Coenzyme A Biosynthesis cluster; <br>Folate biosynthesis cluster, , ,Coenzyme A; Folate and pterines,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
Similar to glycogen synthase (EC 2.4.1.21),- none -, , ,none,none
Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16),- none -, , ,none,none
TonB-dependent receptor,Ton and Tol transopt system; Ton and Tol transport systems, , ,Membrane Transport - no subcategory,Membrane Transport
ATP synthase beta chain (EC 3.6.3.14),F0F1-type ATP synthase, , ,ATP synthases,Respiration
ATP synthase epsilon chain (EC 3.6.3.14),F0F1-type ATP synthase, , ,ATP synthases,Respiration
8-amino-7-oxononanoate synthase (EC 2.3.1.47),Biotin biosynthesis; <br>Biotin biosynthesis Experimental, , ,Biotin,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
Dethiobiotin synthase BioD (EC 6.3.3.3),- none -, , ,none,none
Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62),Biotin biosynthesis; <br>Biotin biosynthesis Experimental, , ,Biotin,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
"3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.179)",- none -, , ,none,none
Regulatory protein RecX,"DNA repair system including RecA, MutS and a hypothetical protein; <br>RecA and RecX", , ,DNA repair,DNA Metabolism
