Feature ID	Type	Contig	Start	Stop	Frame	Strand	Length (bp)	Function	Subsystem	NCBI GI	locus
fig|1423322.13.peg.1	CDS	NZ_LEKS01000001	2182	2916	1	+	735	Pantothenate kinase type III, CoaX-like (EC 2.7.1.33)	Coenzyme A Biosynthesis; <br>Coenzyme A Biosynthesis cluster	 	 
fig|1423322.13.peg.2	CDS	NZ_LEKS01000001	2909	4141	2	+	1233	Putative outer membrane protein	- none -	 	 
fig|1423322.13.peg.3	CDS	NZ_LEKS01000001	4246	4743	1	+	498	Lipopolysaccharide export system protein LptC	- none -	 	 
fig|1423322.13.peg.4	CDS	NZ_LEKS01000001	4752	4946	3	+	195	Uncharacterized protein Celly_0798	- none -	 	 
fig|1423322.13.peg.5	CDS	NZ_LEKS01000001	4950	6209	3	+	1260	Hemolysins and related proteins containing CBS domains	- none -	 	 
fig|1423322.13.peg.6	CDS	NZ_LEKS01000001	6318	8417	3	+	2100	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	- none -	 	 
fig|1423322.13.peg.7	CDS	NZ_LEKS01000001	9694	8780	-1	-	915	Mevalonate kinase (EC 2.7.1.36)	Isoprenoid Biosynthesis; <br>Mevalonate Branch of Isoprenoid Biosynthesis	 	 
fig|1423322.13.peg.8	CDS	NZ_LEKS01000001	11100	9787	-3	-	1314	Hydroxymethylglutaryl-CoA reductase (EC 1.1.1.34)	Isoprenoid Biosynthesis; <br>Leucine Degradation and HMG-CoA Metabolism; <br>Mevalonate Branch of Isoprenoid Biosynthesis	 	 
fig|1423322.13.peg.9	CDS	NZ_LEKS01000001	11286	13457	3	+	2172	Dipeptidyl peptidase IV	- none -	 	 
fig|1423322.13.peg.10	CDS	NZ_LEKS01000001	13495	15171	1	+	1677	Di-tripeptide/cation symporter	- none -	 	 
fig|1423322.13.peg.11	CDS	NZ_LEKS01000001	15158	16657	2	+	1500	Di-tripeptide/cation symporter	- none -	 	 
fig|1423322.13.peg.12	CDS	NZ_LEKS01000001	16708	17175	1	+	468	Thioredoxin Disulfide Isomerase	- none -	 	 
fig|1423322.13.peg.13	CDS	NZ_LEKS01000001	17388	17840	3	+	453	hypothetical protein	- none -	 	 
fig|1423322.13.peg.14	CDS	NZ_LEKS01000001	18113	18562	2	+	450	hypothetical protein	- none -	 	 
fig|1423322.13.peg.15	CDS	NZ_LEKS01000001	20612	18576	-2	-	2037	DNA internalization-related competence protein ComEC/Rec2	- none -	 	 
fig|1423322.13.peg.16	CDS	NZ_LEKS01000001	21150	20665	-3	-	486	Probable lipoprotein NlpC	- none -	 	 
fig|1423322.13.peg.17	CDS	NZ_LEKS01000001	22279	21161	-1	-	1119	Lipid-A-disaccharide synthase (EC 2.4.1.182)	- none -	 	 
fig|1423322.13.peg.18	CDS	NZ_LEKS01000001	22620	22348	-3	-	273	hypothetical protein	- none -	 	 
fig|1423322.13.peg.19	CDS	NZ_LEKS01000001	23392	22613	-1	-	780	5&#39;-nucleotidase SurE (EC 3.1.3.5)	- none -	 	 
fig|1423322.13.peg.20	CDS	NZ_LEKS01000001	23596	25779	1	+	2184	Tail-specific protease precursor (EC 3.4.21.102)	- none -	 	 
fig|1423322.13.peg.21	CDS	NZ_LEKS01000001	25865	26644	2	+	780	DNA/RNA non-specific endonuclease	- none -	 	 
