Function,Subsystem,NCBI GI,locus,System,Category
Putative transposase InsK for insertion sequence element IS150,Transposase, , ,Transposable elements,"Phages, Prophages, Transposable elements, Plasmids"
Mobile element protein,- none -, , ,none,none
2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases,- none -, , ,none,none
Two-component response regulator,Two-component regulatory system, , ,Regulation and Cell signaling - no subcategory,Regulation and Cell signaling
diguanylate cyclase/phosphodiesterase (GGDEF & EAL domains) with PAS/PAC sensor(s),- none -, , ,none,none
"Two-component transcriptional response regulator, LuxR family",Two-component regulatory system, , ,RNA processing and modification; Regulation and Cell signaling - no subcategory,RNA Metabolism; Regulation and Cell signaling
diguanylate cyclase/phosphodiesterase (GGDEF & EAL domains) with PAS/PAC sensor(s),- none -, , ,none,none
Na+/H+ antiporter,none, , ,Uni- Sym- and Antiporters,Membrane Transport
"Oxidoreductase, short-chain dehydrogenase/reductase family",- none -, , ,none,none
TonB-dependent receptor,Ton and Tol transopt system; Ton and Tol transport systems, , ,Membrane Transport - no subcategory,Membrane Transport
"Regulatory sensor-transducer, BlaR1/MecR1 family / TonB-dependent receptor",Ton and Tol transopt system; Ton and Tol transport systems, , ,Membrane Transport - no subcategory,Membrane Transport
"Transcriptional regulator, MecI family",none, , ,RNA processing and modification,RNA Metabolism
FIG01423360: glycoside hydrolase,- none -, , ,none,none
Short-chain alcohol dehydrogenase,- none -, , ,none,none
Catalase KatE-intracellular protease (EC 1.11.1.6),Protein degradation, , ,Protein degradation,Protein Metabolism
Stress response diiron-containing protein YciF,- none -, , ,none,none
FIG01423360: glycoside hydrolase,- none -, , ,none,none
Two-component response regulator CheY subfamily,Two-component regulatory system, , ,Regulation and Cell signaling - no subcategory,Regulation and Cell signaling
Uncharacterized ankyrin-repeat-containing protein Fjoh_4067,- none -, , ,none,none
Uncharacterized protein Fjoh_4068,- none -, , ,none,none
"Uncharacterized transmembrane, FAD-binding oxidoreductase Fjoh_4069",- none -, , ,none,none
"FAD:protein FMN transferase (EC 2.7.1.180) @ FAD:protein FMN transferase (EC 2.7.1.180), Fjoh_4069-associated",- none -, , ,none,none
"Transcriptional regulator, AraC family",none, , ,RNA processing and modification,RNA Metabolism
Mlr3941 protein,- none -, , ,none,none
"Efflux ABC transporter, permease protein",none, , ,ABC-transporters; Membrane Transport - no subcategory,Membrane Transport
"Domain of unknown function / Efflux ABC transporter, permease protein",none, , ,ABC-transporters; Membrane Transport - no subcategory,Membrane Transport
"Efflux ABC transporter, ATP-binding protein",none, , ,ABC-transporters; Membrane Transport - no subcategory,Membrane Transport
"Efflux ABC transporter, ATP-binding protein",none, , ,ABC-transporters; Membrane Transport - no subcategory,Membrane Transport
HlyD family secretion protein,- none -, , ,none,none
"Type I secretion system, outer membrane component LapE",none, , ,Protein secretion system,Membrane Transport
"Transcriptional regulator, AcrR family",none, , ,RNA processing and modification,RNA Metabolism
