Feature ID	Type	Contig	Start	Stop	Frame	Strand	Length (bp)	Function	Subsystem
fig|362418.15.peg.1	CDS	NZ_JPRL01000001	329	763	2	+	435	hypothetical protein	- none -
fig|362418.15.peg.2	CDS	NZ_JPRL01000001	1413	769	-3	-	645	Endonuclease III (EC 4.2.99.18)	DNA Repair Base Excision
fig|362418.15.peg.3	CDS	NZ_JPRL01000001	2326	1460	-1	-	867	Putative hydrolase	- none -
fig|362418.15.peg.4	CDS	NZ_JPRL01000001	2441	3868	2	+	1428	Glycogen synthase, ADP-glucose transglucosylase (EC 2.4.1.21)	Glycogen metabolism
fig|362418.15.peg.5	CDS	NZ_JPRL01000001	3858	5138	3	+	1281	Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27)	Glycogen metabolism
fig|362418.15.peg.6	CDS	NZ_JPRL01000001	5173	7077	1	+	1905	1,4-alpha-glucan (glycogen) branching enzyme, GH-13-type (EC 2.4.1.18)	Glycogen metabolism
fig|362418.15.peg.7	CDS	NZ_JPRL01000001	7269	9668	3	+	2400	Alpha-glucosidase, family 31 of glycosyl hydrolases, COG1501	Glycogen metabolism
fig|362418.15.peg.8	CDS	NZ_JPRL01000001	9754	10563	1	+	810	Zn-dependent protease with chaperone function PA4632	- none -
fig|362418.15.peg.9	CDS	NZ_JPRL01000001	10702	12006	1	+	1305	Uncharacterized MFS-type transporter	- none -
fig|362418.15.peg.10	CDS	NZ_JPRL01000001	12874	12149	-1	-	726	hypothetical protein	- none -
fig|362418.15.peg.11	CDS	NZ_JPRL01000001	13953	12892	-3	-	1062	hypothetical protein	- none -
fig|362418.15.peg.12	CDS	NZ_JPRL01000001	14470	13937	-1	-	534	hypothetical protein	- none -
fig|362418.15.peg.13	CDS	NZ_JPRL01000001	15021	14467	-3	-	555	RNA polymerase ECF-type sigma factor	- none -
fig|362418.15.peg.14	CDS	NZ_JPRL01000001	15415	17868	1	+	2454	ATP-dependent protease La (EC 3.4.21.53) Type I	Proteolysis in bacteria, ATP-dependent
fig|362418.15.peg.15	CDS	NZ_JPRL01000001	18110	19129	2	+	1020	low affinity penicillin binding protein	- none -
fig|362418.15.peg.16	CDS	NZ_JPRL01000001	19135	19737	1	+	603	hypothetical protein	- none -
fig|362418.15.peg.17	CDS	NZ_JPRL01000001	19807	19926	1	+	120	hypothetical protein	- none -
fig|362418.15.peg.18	CDS	NZ_JPRL01000001	20019	20435	3	+	417	hypothetical protein	- none -
fig|362418.15.peg.19	CDS	NZ_JPRL01000001	20472	21164	3	+	693	Cytidylate kinase (EC 2.7.4.25)	pyrimidine conversions
fig|362418.15.peg.20	CDS	NZ_JPRL01000001	21233	22609	2	+	1377	Xanthosine permease	- none -
fig|362418.15.peg.21	CDS	NZ_JPRL01000001	22871	22752	-2	-	120	hypothetical protein	- none -
fig|362418.15.peg.22	CDS	NZ_JPRL01000001	23160	23912	3	+	753	Oxidoreductase, short-chain dehydrogenase/reductase family	- none -
fig|362418.15.peg.23	CDS	NZ_JPRL01000001	24215	27631	2	+	3417	hypothetical protein	- none -
fig|362418.15.peg.24	CDS	NZ_JPRL01000001	28223	27687	-2	-	537	hypothetical protein	- none -
fig|362418.15.peg.25	CDS	NZ_JPRL01000001	30500	28275	-2	-	2226	no hits	- none -
fig|362418.15.peg.26	CDS	NZ_JPRL01000001	31048	30497	-1	-	552	RNA polymerase ECF-type sigma factor	- none -
fig|362418.15.peg.27	CDS	NZ_JPRL01000001	31497	31099	-3	-	399	hypothetical protein	- none -
fig|362418.15.peg.28	CDS	NZ_JPRL01000001	32362	31505	-1	-	858	hypothetical protein	- none -
fig|362418.15.peg.29	CDS	NZ_JPRL01000001	32534	33904	2	+	1371	DNA recombination protein RmuC	DNA repair, bacterial
fig|362418.15.peg.30	CDS	NZ_JPRL01000001	33930	34478	3	+	549	Acyl CoA thioester hydrolase family protein	- none -
fig|362418.15.peg.31	CDS	NZ_JPRL01000001	34533	34922	3	+	390	Lactoylglutathione lyase and related lyases	- none -
fig|362418.15.peg.32	CDS	NZ_JPRL01000001	35134	35673	1	+	540	hypothetical protein	- none -
fig|362418.15.peg.33	CDS	NZ_JPRL01000001	36588	35677	-3	-	912	Cell division inhibitor Slr1223 (YfcH in EC), contains epimerase/dehydratase and DUF1731 domains	- none -
fig|362418.15.peg.34	CDS	NZ_JPRL01000001	36684	37346	3	+	663	hypothetical protein	- none -
fig|362418.15.peg.35	CDS	NZ_JPRL01000001	37343	38647	2	+	1305	Uncharacterized ABC1 family protein CHU_0987	- none -
fig|362418.15.peg.36	CDS	NZ_JPRL01000001	40012	38717	-1	-	1296	Deoxyribodipyrimidine photolyase (EC 4.1.99.3)	DNA repair, bacterial photolyase
fig|362418.15.peg.37	CDS	NZ_JPRL01000001	40569	40057	-3	-	513	Cell division inhibitor SulA	- none -
